rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/success_rate
50.0,6,0.001,29,0.13884150981903076,4,-50.0,0.8713659048080444,99,200,0.0
50.0,4,0.001,86,0.09649275243282318,8,-50.0,1.4171220064163208,299,400,0.0
50.0,4,0.001,148,0.08886601030826569,12,-50.0,1.6213122606277466,499,600,0.0
50.0,4,0.001,190,0.06602919101715088,16,-50.0,1.9473066329956055,699,800,0.0
50.0,4,0.001,230,0.06198049336671829,20,-50.0,2.348273992538452,899,1000,0.0
50.0,4,0.001,281,0.05500951409339905,24,-50.0,2.4148571491241455,1099,1200,0.0
50.0,4,0.001,316,0.06208770349621773,28,-50.0,2.729551076889038,1299,1400,0.0
50.0,4,0.001,350,0.04186401516199112,32,-50.0,2.8146591186523438,1499,1600,0.0
50.0,4,0.001,381,0.07449403405189514,36,-50.0,2.7524125576019287,1699,1800,0.0
50.0,4,0.001,431,0.05152731388807297,40,-50.0,2.617579460144043,1899,2000,0.0
50.0,4,0.001,463,0.06399903446435928,44,-50.0,2.5309834480285645,2099,2200,0.0
50.0,4,0.001,493,0.049741461873054504,48,-49.99583333333334,2.7116053104400635,2299,2400,0.0
50.0,4,0.001,530,0.06157802790403366,52,-49.98846153846154,2.588364601135254,2499,2600,0.0
49.142857142857146,4,0.001,571,0.0699559822678566,56,-49.11428571428571,2.593395471572876,2651,2752,0.017857142857142856
49.2,4,0.001,602,0.0736781433224678,60,-49.173333333333325,2.294646978378296,2851,2952,0.016666666666666666
49.25,5,0.001,629,0.10887930542230606,64,-49.21875,2.40970778465271,3051,3152,0.015625
48.89705882352941,5,0.001,656,0.11092667281627655,68,-48.85294117647059,2.6573309898376465,3224,3325,0.029411764705882353
48.958333333333336,5,0.001,683,0.0961550921201706,72,-48.916666666666664,2.6401124000549316,3424,3525,0.027777777777777776
47.88157894736842,5,0.001,698,0.11829903721809387,76,-47.81578947368421,2.5190365314483643,3538,3639,0.05263157894736842
47.5625,5,0.001,717,0.12602251768112183,80,-47.4875,2.0067684650421143,3704,3805,0.0625
47.55952380952381,5,0.001,740,0.09975658357143402,84,-47.476190476190474,2.6182069778442383,3894,3995,0.07142857142857142
47.15909090909091,5,0.001,770,0.16789434850215912,88,-47.06818181818182,1.8190279006958008,4049,4150,0.07954545454545454
46.31521739130435,5,0.001,793,0.10847586393356323,92,-46.20652173913044,2.1378355026245117,4160,4261,0.09782608695652174
45.552083333333336,5,0.001,808,0.2843177318572998,96,-45.427083333333336,2.414628505706787,4272,4373,0.11458333333333333
43.96,5,0.001,811,0.13398437201976776,100,-43.8,2.2234368324279785,4295,4396,0.15
43.5,5,0.001,838,0.13187149167060852,104,-43.33,1.9538254737854004,4449,4550,0.16
41.66,5,0.001,841,0.25782909989356995,108,-41.45,2.5748283863067627,4465,4566,0.2
40.75,5,0.001,868,0.11639009416103363,112,-40.519999999999996,1.834314227104187,4574,4675,0.22
39.44,5,0.001,878,0.13844329118728638,116,-39.18,1.3815194368362427,4643,4744,0.25
38.01,5,0.001,887,0.14492177963256836,120,-37.72,2.0037684440612793,4700,4801,0.28
37.2,5,0.001,911,0.2104211449623108,124,-36.89,1.4900013208389282,4819,4920,0.3
35.41,5,0.001,914,0.14478889107704163,128,-35.06,1.8088622093200684,4840,4941,0.34
33.56,5,0.001,916,0.12538914382457733,132,-33.17,1.2860928773880005,4855,4956,0.38
31.88,5,0.001,921,0.1873081773519516,136,-31.45,1.7253398895263672,4887,4988,0.42
30.51,5,0.001,933,0.21978753805160522,140,-30.05,1.6957751512527466,4950,5051,0.45
28.77,5,0.001,939,0.22393463551998138,144,-28.27,1.4574248790740967,4976,5077,0.49
27.48,5,0.001,955,0.2412068098783493,148,-26.951999999999998,1.6767526865005493,5047,5148,0.52
26.61,5,0.001,973,0.1911635845899582,152,-26.066,1.1312713623046875,5160,5261,0.54
25.72,5,0.001,983,0.20211200416088104,156,-25.156,1.2722796201705933,5223,5324,0.56
24.43,5,0.001,993,0.1983458697795868,160,-23.836,0.9216744303703308,5294,5395,0.59
23.17,5,0.001,1004,0.18495188653469086,164,-22.54,1.414774775505066,5368,5469,0.63
22.55,5,0.001,1020,0.1305602341890335,168,-21.9,0.8255161046981812,5479,5580,0.65
21.22,5,0.001,1032,0.16867442429065704,172,-20.54,1.0391064882278442,5546,5647,0.68
20.69,5,0.001,1047,0.19784820079803467,176,-19.99,1.176665186882019,5607,5708,0.7
19.34,5,0.001,1051,0.17424118518829346,180,-18.61,0.5733540654182434,5638,5739,0.73
17.63,5,0.001,1055,0.2003728598356247,184,-16.87,1.1220250129699707,5657,5758,0.76
16.72,5,0.001,1069,0.215892031788826,188,-15.94,1.0471569299697876,5721,5822,0.78
15.84,5,0.001,1072,0.18910643458366394,192,-15.04,1.0019736289978027,5744,5845,0.8
14.89,5,0.001,1074,0.18384616076946259,196,-14.07,1.3188066482543945,5761,5862,0.82
15.34,5,0.001,1087,0.21613658964633942,200,-14.527999999999999,0.6768270134925842,5829,5930,0.81
14.12,5,0.001,1093,0.18725594878196716,204,-13.277999999999999,0.9954838156700134,5861,5962,0.84
14.14,5,0.001,1096,0.16804729402065277,208,-13.298,1.131417989730835,5879,5980,0.84
13.3,5,0.001,1101,0.1584785282611847,212,-12.437999999999999,1.1307945251464844,5904,6005,0.86
12.78,5,0.001,1103,0.1570146381855011,216,-11.908,1.5205012559890747,5921,6022,0.87
12.45,5,0.001,1107,0.17928887903690338,220,-11.568,0.5974678993225098,5945,6046,0.88
11.42,5,0.001,1109,0.1500377506017685,224,-10.517999999999999,0.935024619102478,5961,6062,0.9
11.36,5,0.001,1112,0.16676227748394012,228,-10.458,0.9543405175209045,5976,6077,0.9
11.43,5,0.001,1118,0.15741510689258575,232,-10.527999999999999,0.4394785761833191,5998,6099,0.9
11.28,5,0.001,1123,0.15679407119750977,236,-10.378,0.2612288296222687,6015,6116,0.9
10.81,5,0.001,1126,0.1794193834066391,240,-9.898,0.3268139362335205,6031,6132,0.91
10.7,5,0.001,1130,0.17711348831653595,244,-9.788,0.9366759061813354,6046,6147,0.91
10.3,5,0.001,1136,0.20173093676567078,248,-9.378,0.3896009624004364,6077,6178,0.92
9.3,5,0.001,1139,0.155134916305542,252,-8.357999999999999,1.1084048748016357,6090,6191,0.94
8.9,5,0.001,1144,0.2085959017276764,256,-7.9479999999999995,0.9792036414146423,6113,6214,0.95
8.35,5,0.001,1146,0.21963882446289062,260,-7.388,0.8067641258239746,6129,6230,0.96
7.74,5,0.001,1148,0.1778811514377594,264,-6.778,0.1178332269191742,6142,6243,0.96
6.81,5,0.001,1150,0.15317821502685547,268,-5.837999999999999,0.14094167947769165,6160,6261,0.97
6.32,5,0.001,1153,0.1404159516096115,272,-5.337999999999999,0.13034680485725403,6178,6279,0.98
5.89,5,0.001,1155,0.23498372733592987,276,-4.908,0.7445205450057983,6196,6297,0.98
5.74,5,0.001,1157,0.1547233611345291,280,-4.758,0.32287225127220154,6212,6313,0.98
5.72,5,0.001,1158,0.1426520049571991,284,-4.738,0.26553693413734436,6229,6330,0.98
5.24,5,0.001,1161,0.1343335658311844,288,-4.248,0.4258198142051697,6245,6346,0.99
5.19,5,0.001,1163,0.18610183894634247,292,-4.198,1.1055911779403687,6263,6364,0.99
5.17,5,0.001,1165,0.14576436579227448,296,-4.178,0.645228385925293,6278,6379,0.99
4.69,5,0.001,1169,0.1629236936569214,300,-3.69,-0.2674965262413025,6298,6399,1.0
4.53,5,0.001,1171,0.14652647078037262,304,-3.53,-0.2387680858373642,6314,6415,1.0
4.49,5,0.001,1172,0.2007279396057129,308,-3.49,0.3917698264122009,6328,6429,1.0
4.38,5,0.001,1176,0.14103040099143982,312,-3.38,0.34723809361457825,6342,6443,1.0
4.45,5,0.001,1180,0.14875030517578125,316,-3.45,0.29213595390319824,6366,6467,1.0
4.35,5,0.001,1183,0.1710224151611328,320,-3.35,0.12638327479362488,6380,6481,1.0
4.39,5,0.001,1185,0.17661571502685547,324,-3.39,0.18771886825561523,6400,6501,1.0
4.5,5,0.001,1188,0.2098868489265442,328,-3.5,0.053541310131549835,6426,6527,1.0
4.49,5,0.001,1191,0.17981265485286713,332,-3.49,1.0382590293884277,6447,6548,1.0
4.51,5,0.001,1193,0.15012916922569275,336,-3.51,0.2116253525018692,6466,6567,1.0
4.71,5,0.001,1198,0.1595880687236786,340,-3.71,-0.11388175934553146,6502,6603,1.0
4.75,5,0.001,1200,0.1558457463979721,344,-3.75,-0.5152556896209717,6521,6622,1.0
4.58,5,0.001,1202,0.18346883356571198,348,-3.58,0.3081625699996948,6535,6636,1.0
4.62,5,0.001,1204,0.17821171879768372,352,-3.62,0.6481701135635376,6552,6653,1.0
4.53,5,0.001,1205,0.179476797580719,356,-3.53,-0.3016948103904724,6566,6667,1.0
4.57,5,0.001,1207,0.18422216176986694,360,-3.57,0.2757113575935364,6586,6687,1.0
4.66,5,0.001,1208,0.14410343766212463,364,-3.66,-0.02788788080215454,6608,6709,1.0
4.82,5,0.001,1213,0.14951246976852417,368,-3.82,-0.2502358853816986,6642,6743,1.0
4.91,5,0.001,1218,0.2503807544708252,372,-3.91,-0.2424689531326294,6669,6770,1.0
5.07,5,0.001,1223,0.14302636682987213,376,-4.07,0.3022773861885071,6703,6804,1.0
5.1,5,0.001,1225,0.15827317535877228,380,-4.1,0.09169753640890121,6722,6823,1.0
5.1,5,0.001,1228,0.1760091483592987,384,-4.1,-0.09607189893722534,6739,6840,1.0
5.14,5,0.001,1231,0.1792224794626236,388,-4.14,0.3182448148727417,6759,6860,1.0
5.1,5,0.001,1233,0.15316352248191833,392,-4.1,-0.2514851987361908,6773,6874,1.0
5.15,5,0.001,1235,0.17117008566856384,396,-4.15,-0.23490896821022034,6793,6894,1.0
5.12,5,0.001,1238,0.15426909923553467,400,-4.12,0.10153283178806305,6810,6911,1.0
5.14,5,0.001,1239,0.1403535157442093,404,-4.14,0.11281396448612213,6828,6929,1.0
5.35,5,0.001,1243,0.1570761352777481,408,-4.35,-0.04060922563076019,6863,6964,1.0
5.4,5,0.001,1246,0.15237538516521454,412,-4.4,-0.13193374872207642,6882,6983,1.0
5.35,5,0.001,1248,0.16124983131885529,416,-4.35,-0.7465413808822632,6901,7002,1.0
5.41,5,0.001,1252,0.18506209552288055,420,-4.41,0.09099041670560837,6921,7022,1.0
5.42,5,0.001,1256,0.1343032717704773,424,-4.42,0.22085626423358917,6942,7043,1.0
5.34,5,0.001,1259,0.16087068617343903,428,-4.34,-0.07095158100128174,6960,7061,1.0
5.34,5,0.001,1262,0.14623002707958221,432,-4.34,0.323058545589447,6981,7082,1.0
5.33,5,0.001,1266,0.1658046394586563,436,-4.33,-0.34641072154045105,6999,7100,1.0
5.1,5,0.001,1269,0.17351892590522766,440,-4.1,-0.43297743797302246,7012,7113,1.0
5.08,5,0.001,1271,0.14732976257801056,444,-4.08,0.13548678159713745,7029,7130,1.0
5.16,5,0.001,1275,0.17562861740589142,448,-4.16,-0.30416786670684814,7051,7152,1.0
5.2,5,0.001,1279,0.1612224578857422,452,-4.2,0.227250337600708,7072,7173,1.0
5.3,5,0.001,1283,0.15586024522781372,456,-4.3,-0.2834323048591614,7096,7197,1.0
5.25,5,0.001,1286,0.13601383566856384,460,-4.25,-0.7201781272888184,7111,7212,1.0
5.21,5,0.001,1288,0.13825508952140808,464,-4.21,-0.2493070662021637,7129,7230,1.0
5.07,5,0.001,1291,0.15119168162345886,468,-4.07,-0.02277129888534546,7149,7250,1.0
4.98,5,0.001,1293,0.14681318402290344,472,-3.98,-0.31327009201049805,7167,7268,1.0
4.82,5,0.001,1295,0.1290643960237503,476,-3.82,-0.3800800144672394,7185,7286,1.0
4.82,5,0.001,1298,0.13844268023967743,480,-3.82,-0.6089279651641846,7204,7305,1.0
4.8,5,0.001,1300,0.12116553634405136,484,-3.8,0.020875290036201477,7219,7320,1.0
4.75,5,0.001,1302,0.16537973284721375,488,-3.75,-0.3199153542518616,7234,7335,1.0
4.82,5,0.001,1306,0.16053499281406403,492,-3.82,-0.3708886504173279,7255,7356,1.0
4.81,5,0.001,1310,0.13360898196697235,496,-3.81,-0.3724555969238281,7274,7375,1.0
4.83,5,0.001,1312,0.1758565753698349,500,-3.83,0.12734851241111755,7293,7394,1.0
4.88,5,0.001,1316,0.1582450270652771,504,-3.88,0.027138791978359222,7316,7417,1.0
4.75,5,0.001,1319,0.1408284604549408,508,-3.75,-0.228797048330307,7338,7439,1.0
4.82,5,0.001,1323,0.17548388242721558,512,-3.82,-0.2867423892021179,7364,7465,1.0
4.8,5,0.001,1326,0.19247911870479584,516,-3.8,-0.8840017914772034,7381,7482,1.0
5.23,5,0.001,1337,0.1465264856815338,520,-4.24,-0.18332603573799133,7444,7545,0.99
5.21,5,0.001,1342,0.1691693812608719,524,-4.22,-0.4436265826225281,7463,7564,0.99
5.23,5,0.001,1344,0.15252117812633514,528,-4.24,-0.6181253790855408,7483,7584,0.99
5.28,5,0.001,1348,0.13615213334560394,532,-4.29,-0.21839895844459534,7509,7610,0.99
5.27,5,0.001,1353,0.1716141253709793,536,-4.28,-0.5805541276931763,7526,7627,0.99
5.31,5,0.001,1356,0.14682866632938385,540,-4.32,-0.23977544903755188,7543,7644,0.99
5.32,5,0.001,1360,0.13655143976211548,544,-4.33,-0.754379153251648,7561,7662,0.99
5.27,5,0.001,1362,0.10504866391420364,548,-4.28,-1.004370927810669,7578,7679,0.99
5.22,5,0.001,1365,0.16322749853134155,552,-4.23,-0.6683006286621094,7594,7695,0.99
5.2,5,0.001,1368,0.1321059763431549,556,-4.21,-0.6689241528511047,7616,7717,0.99
5.25,5,0.001,1371,0.14168000221252441,560,-4.26,-0.5292055606842041,7636,7737,0.99
5.32,5,0.001,1374,0.12056997418403625,564,-4.33,-0.36225369572639465,7661,7762,0.99
5.24,5,0.001,1376,0.1588273048400879,568,-4.25,-0.396396666765213,7673,7774,0.99
5.33,5,0.001,1382,0.1301649808883667,572,-4.34,-0.4270208477973938,7700,7801,0.99
5.32,5,0.001,1384,0.13860110938549042,576,-4.33,-0.4720560312271118,7717,7818,0.99
5.31,5,0.001,1387,0.14171791076660156,580,-4.32,-0.1230761706829071,7735,7836,0.99
5.45,5,0.001,1395,0.13510119915008545,584,-4.46,-0.049062877893447876,7764,7865,0.99
5.45,5,0.001,1398,0.13627201318740845,588,-4.46,-0.7727084755897522,7779,7880,0.99
5.47,5,0.001,1402,0.17016085982322693,592,-4.48,-0.7174949049949646,7802,7903,0.99
5.45,5,0.001,1405,0.15229138731956482,596,-4.46,-0.716881275177002,7819,7920,0.99
5.41,5,0.001,1407,0.1434241384267807,600,-4.42,-0.8979367017745972,7834,7935,0.99
5.36,5,0.001,1410,0.1246003657579422,604,-4.37,-0.8518937826156616,7852,7953,0.99
5.36,5,0.001,1414,0.18310503661632538,608,-4.37,-0.2912323772907257,7874,7975,0.99
5.27,5,0.001,1416,0.15300387144088745,612,-4.28,-0.19415263831615448,7891,7992,0.99
