time/episodes,train/actor_loss,time/fps,rollout/success_rate,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/learning_rate
4,0.0918302834033966,8,0.25,160,59,40.0,17,0.005549962632358074,-15.898867500000001,0.001
8,0.23367378115653992,5,0.125,360,259,45.0,68,0.00046576204476878047,-16.532842625,0.001
12,0.25814953446388245,4,0.16666666666666666,538,437,44.833333333333336,110,0.00022347331105265766,-13.704083916666667,0.001
16,0.261940598487854,4,0.1875,689,588,43.0625,144,0.0003575892769731581,-11.978807937500001,0.001
20,0.30520179867744446,4,0.2,858,757,42.9,182,0.0003345526638440788,-10.659195200000003,0.001
24,0.30112558603286743,4,0.20833333333333334,1019,918,42.458333333333336,218,0.0003189551644027233,-9.862254208333333,0.001
28,0.3045658469200134,4,0.2857142857142857,1089,988,38.892857142857146,233,0.00029912556055933237,-8.834721499999999,0.001
32,0.2991880178451538,4,0.3125,1204,1103,37.625,265,0.00044279039138928056,-8.15543715625,0.001
36,0.3463037610054016,4,0.3611111111111111,1284,1183,35.666666666666664,284,0.0007164212292991579,-7.449945250000001,0.001
40,0.3041384220123291,4,0.4,1347,1246,33.675,298,0.0008511760970577598,-6.870504650000001,0.001
44,0.2954360842704773,4,0.45454545454545453,1367,1266,31.068181818181817,302,0.00061086006462574,-6.2946612272727265,0.001
48,0.3357493579387665,4,0.5,1392,1291,29.0,308,0.0006543097551912069,-5.815643291666667,0.001
52,0.326826274394989,4,0.5384615384615384,1418,1317,27.26923076923077,313,0.0005438019870780408,-5.421590134615385,0.001
56,0.3286587595939636,4,0.5714285714285714,1440,1339,25.714285714285715,319,0.0007812470430508256,-5.070594803571429,0.001
60,0.26863640546798706,4,0.5833333333333334,1525,1424,25.416666666666668,338,0.0008640678133815527,-4.895501449999999,0.001
64,0.26239457726478577,4,0.609375,1540,1439,24.0625,341,0.0008328594267368317,-4.612602515625,0.001
68,0.23297426104545593,4,0.6176470588235294,1607,1506,23.63235294117647,354,0.0005621640593744814,-4.470531588235295,0.001
72,0.2483876645565033,4,0.6388888888888888,1661,1560,23.069444444444443,364,0.0006882885354571044,-4.281073500000001,0.001
76,0.25043565034866333,4,0.6578947368421053,1678,1577,22.07894736842105,367,0.0010263222502544522,-4.076843894736842,0.001
80,0.23122243583202362,4,0.675,1697,1596,21.2125,371,0.0011664716294035316,-3.895338975,0.001
84,0.2320631593465805,4,0.6904761904761905,1725,1624,20.535714285714285,379,0.000623509637080133,-3.7444775,0.001
88,0.2425064742565155,4,0.6931818181818182,1787,1686,20.306818181818183,395,0.0005801951629109681,-3.6378539204545457,0.001
92,0.255706787109375,4,0.7065217391304348,1816,1715,19.73913043478261,403,0.0006842784350737929,-3.512669021739131,0.001
96,0.23947659134864807,4,0.71875,1845,1744,19.21875,409,0.000572467572055757,-3.3974455624999997,0.001
100,0.27244770526885986,4,0.73,1861,1760,18.61,412,0.0007829107344150543,-3.27585809,0.001
104,0.28165411949157715,4,0.76,1883,1782,17.23,416,0.0005115573294460773,-2.66463643,0.001
108,0.23674020171165466,4,0.8,1910,1809,15.5,422,0.000604790635406971,-1.9993945599999998,0.001
112,0.21778497099876404,4,0.83,1929,1828,13.91,425,0.0005196395213715732,-1.6974043699999997,0.001
116,0.20102454721927643,4,0.86,1949,1848,12.6,429,0.0006322714616544545,-1.4477792299999999,0.001
120,0.19843588769435883,4,0.89,1966,1865,11.08,432,0.0006712043541483581,-1.2490148699999999,0.001
124,0.2204996645450592,4,0.92,1995,1894,9.76,439,0.0005019919481128454,-1.03933338,0.001
128,0.21090218424797058,4,0.93,2008,1907,9.19,442,0.001032439642585814,-0.9423766099999998,0.001
132,0.19649596512317657,4,0.95,2032,1931,8.28,446,0.0005979752168059349,-0.83085729,0.001
136,0.18889760971069336,4,0.96,2048,1947,7.64,451,0.0006104857893660665,-0.7736946400000002,0.001
140,0.19388596713542938,4,0.97,2063,1962,7.16,453,0.0005875685019418597,-0.7238595500000001,0.001
144,0.14850731194019318,4,0.97,2077,1976,7.1,455,0.0006621938082389534,-0.7165419500000003,0.001
148,0.16702914237976074,4,0.97,2097,1996,7.05,459,0.0004396728763822466,-0.71187759,0.001
152,0.18968500196933746,4,0.97,2115,2014,6.97,462,0.000515571387950331,-0.7046854899999999,0.001
156,0.17779849469661713,4,0.97,2138,2037,6.98,467,0.00038117426447570324,-0.71209108,0.001
160,0.1304437220096588,4,0.98,2156,2055,6.31,470,0.0004093176103197038,-0.63321476,0.001
164,0.17039114236831665,4,0.98,2172,2071,6.32,474,0.0010034834267571568,-0.63598038,0.001
168,0.22151996195316315,4,0.99,2192,2091,5.85,477,0.0007379634771496058,-0.5662399699999999,0.001
172,0.15835539996623993,4,0.99,2213,2112,5.52,481,0.0005208568763919175,-0.54726061,0.001
176,0.1918092966079712,4,0.99,2233,2132,5.55,485,0.0004192229243926704,-0.55164456,0.001
180,0.15559276938438416,4,0.99,2251,2150,5.54,489,0.0004776882124133408,-0.55163994,0.001
184,0.17846356332302094,4,0.99,2268,2167,5.43,491,0.0005430569290183485,-0.5408122999999999,0.001
188,0.19319099187850952,4,1.0,2282,2181,4.95,493,0.0004885765956714749,-0.4992103199999999,0.001
192,0.20419611036777496,4,1.0,2297,2196,4.81,496,0.00041606492595747113,-0.48246927,0.001
196,0.19637608528137207,4,1.0,2317,2216,4.72,499,0.0004673041694331914,-0.47277505000000003,0.001
200,0.14941534399986267,4,1.0,2337,2236,4.76,504,0.00037714472273364663,-0.4811637899999999,0.001
204,0.19075940549373627,4,1.0,2356,2255,4.73,508,0.0004791830142494291,-0.4762803399999999,0.001
208,0.16089797019958496,4,0.99,2422,2321,5.12,522,0.0005050236359238625,-0.50774972,0.001
212,0.12803830206394196,4,0.99,2439,2338,5.1,525,0.0003909163933712989,-0.5058731299999999,0.001
216,0.16709163784980774,4,0.99,2456,2355,5.07,529,0.0004837547312490642,-0.5008765500000001,0.001
220,0.1583857536315918,4,0.99,2473,2372,5.07,532,0.0003358947578817606,-0.49927452,0.001
224,0.16328369081020355,4,0.99,2484,2383,4.89,533,0.0003389821504242718,-0.4817557699999999,0.001
228,0.1800997108221054,4,0.99,2505,2404,4.97,536,0.0004441769269760698,-0.49456851999999996,0.001
232,0.1803622543811798,4,0.99,2521,2420,4.89,539,0.00036277121398597956,-0.48618409000000007,0.001
236,0.14225298166275024,4,0.99,2536,2435,4.88,542,0.00028403280884958804,-0.4826476500000001,0.001
240,0.1443120390176773,4,0.99,2554,2453,4.91,545,0.0003203201340511441,-0.48445060000000006,0.001
244,0.14702337980270386,4,0.99,2569,2468,4.92,547,0.0003925491473637521,-0.48456932,0.001
248,0.13464190065860748,4,0.99,2581,2480,4.84,550,0.00036951570655219257,-0.47623850000000006,0.001
252,0.16386856138706207,4,0.99,2592,2491,4.77,553,0.00036338710924610496,-0.46436983000000004,0.001
256,0.1445523202419281,4,0.98,2657,2556,5.19,564,0.0003888251376338303,-0.48958145000000003,0.001
260,0.1426427662372589,4,0.98,2679,2578,5.23,568,0.00040175445610657334,-0.4935320100000001,0.001
264,0.14060410857200623,4,0.98,2697,2596,5.25,570,0.00032668060157448053,-0.49368224000000005,0.001
268,0.1466647982597351,4,0.98,2714,2613,5.22,574,0.000310546689433977,-0.49283232,0.001
272,0.1312279850244522,4,0.98,2726,2625,5.13,575,0.0003211973235011101,-0.48148984,0.001
276,0.13976246118545532,4,0.98,2739,2638,5.06,577,0.0004027762042824179,-0.47221019000000003,0.001
280,0.14446987211704254,4,0.98,2754,2653,5.03,579,0.00031842669704928994,-0.46760194,0.001
284,0.13677214086055756,4,0.98,2768,2667,5.0,581,0.00026264353073202074,-0.46360609,0.001
288,0.14058348536491394,4,0.98,2787,2686,5.05,584,0.00026363926008343697,-0.47030854000000005,0.001
292,0.1264301836490631,4,0.98,2805,2704,5.08,588,0.00023791946296114475,-0.4753558300000001,0.001
296,0.13246755301952362,4,0.98,2829,2728,5.12,592,0.00034890242386609316,-0.48242616,0.001
300,0.12730509042739868,4,0.98,2847,2746,5.1,595,0.00032977439695969224,-0.47931182,0.001
304,0.15416505932807922,4,0.98,2867,2766,5.11,598,0.00044422701466828585,-0.48265947,0.001
308,0.12727829813957214,4,0.99,2881,2780,4.59,601,0.0005195835838094354,-0.44383369,0.001
312,0.15514902770519257,4,0.99,2903,2802,4.64,609,0.000405268685426563,-0.44830722,0.001
316,0.11131997406482697,4,0.99,2923,2822,4.67,615,0.0002684888313524425,-0.44918951,0.001
320,0.149327352643013,4,0.99,2938,2837,4.65,619,0.00034409030922688544,-0.44931603000000003,0.001
324,0.16566574573516846,4,0.99,2954,2853,4.7,622,0.00029580845148302615,-0.45743563000000004,0.001
328,0.14703784883022308,4,0.99,2970,2869,4.65,625,0.00031199585646390915,-0.45127422,0.001
332,0.15763989090919495,4,0.99,2987,2886,4.66,628,0.0003210350696463138,-0.4536582799999999,0.001
336,0.10845920443534851,4,0.99,3003,2902,4.67,632,0.00024024120648391545,-0.45816365,0.001
340,0.15775127708911896,4,0.99,3023,2922,4.69,636,0.0002800497750286013,-0.46373651000000005,0.001
344,0.11599722504615784,4,0.99,3037,2936,4.68,639,0.00026864727260544896,-0.46235258000000007,0.001
348,0.1206359714269638,4,0.99,3056,2955,4.75,642,0.000244198803557083,-0.47316523000000005,0.001
352,0.11659631133079529,4,0.99,3075,2974,4.83,646,0.00025142234517261386,-0.48544669,0.001
356,0.14459146559238434,4,1.0,3090,2989,4.33,648,0.00023098872043192387,-0.44589519000000005,0.001
360,0.12328577041625977,4,1.0,3103,3002,4.24,651,0.0002603770117275417,-0.43393292,0.001
364,0.15716560184955597,4,1.0,3122,3021,4.25,654,0.00027041640714742243,-0.43550132999999996,0.001
368,0.15438754856586456,4,1.0,3140,3039,4.26,658,0.0002685252402443439,-0.43863609000000003,0.001
372,0.1399049311876297,4,1.0,3157,3056,4.31,661,0.00019876446458511055,-0.4458463500000001,0.001
376,0.1474025994539261,4,1.0,3174,3073,4.35,664,0.00023274944396689534,-0.4549243,0.001
380,0.11591523885726929,4,1.0,3191,3090,4.37,667,0.0002297903993166983,-0.4575391999999999,0.001
384,0.11944004893302917,4,1.0,3212,3111,4.44,672,0.0002384241233812645,-0.46643694,0.001
388,0.14735862612724304,4,1.0,3230,3129,4.43,675,0.00034111045533791184,-0.46576761000000005,0.001
392,0.11490736901760101,4,1.0,3245,3144,4.4,679,0.0002629546797834337,-0.4618293199999999,0.001
396,0.13541382551193237,4,1.0,3265,3164,4.36,683,0.0002560719149187207,-0.45865272999999995,0.001
400,0.13902334868907928,4,1.0,3279,3178,4.32,686,0.0002834345505107194,-0.45186143,0.001
404,0.11825718730688095,4,1.0,3297,3196,4.3,691,0.00028945005033165216,-0.44633585,0.001
408,0.13434283435344696,4,1.0,3308,3207,4.27,694,0.00023833922750782222,-0.43940867999999994,0.001
412,0.1311991661787033,4,1.0,3327,3226,4.24,705,0.00028928049141541123,-0.43783696,0.001
416,0.1261526197195053,4,1.0,3341,3240,4.18,710,0.00028617310454137623,-0.43119393,0.001
420,0.12566125392913818,4,1.0,3362,3261,4.24,719,0.0002360078360652551,-0.43470944,0.001
424,0.13037645816802979,4,1.0,3381,3280,4.27,724,0.00027692312141880393,-0.43480182999999994,0.001
428,0.13434356451034546,4,1.0,3398,3297,4.28,729,0.00017480638052802533,-0.43784158999999995,0.001
432,0.10774916410446167,4,1.0,3416,3315,4.29,736,0.0002080228296108544,-0.43525210000000003,0.001
436,0.14769741892814636,4,1.0,3430,3329,4.27,739,0.00024132424732670188,-0.43578529999999993,0.001
440,0.15231360495090485,4,1.0,3439,3338,4.16,742,0.0002354224561713636,-0.41813255000000005,0.001
444,0.15274038910865784,4,1.0,3455,3354,4.18,745,0.00019604619592428207,-0.4199844399999999,0.001
448,0.14068247377872467,4,1.0,3472,3371,4.16,749,0.000169712322531268,-0.41729337999999994,0.001
452,0.1361415535211563,4,1.0,3495,3394,4.2,755,0.0002282958448631689,-0.42200866,0.001
456,0.13712544739246368,4,1.0,3513,3412,4.23,760,0.00017984227451961488,-0.42679151999999987,0.001
460,0.10788333415985107,4,1.0,3541,3440,4.38,769,0.0002726444508880377,-0.44401841,0.001
464,0.12789234519004822,4,1.0,3555,3454,4.33,772,0.00020391661382745951,-0.43843385999999995,0.001
468,0.1306433081626892,4,1.0,3573,3472,4.33,778,0.00019529738347046077,-0.4364951399999999,0.001
472,0.14611195027828217,4,1.0,3583,3482,4.26,780,0.00025351293152198195,-0.4254862,0.001
476,0.13871043920516968,4,1.0,3603,3502,4.29,783,0.00019862118642777205,-0.42970781,0.001
480,0.12758882343769073,4,1.0,3620,3519,4.29,787,0.0002360262005822733,-0.4331099399999999,0.001
484,0.1409498155117035,4,1.0,3638,3537,4.26,794,0.00018211151473224163,-0.42897773,0.001
488,0.1471080780029297,4,1.0,3659,3558,4.29,801,0.0003047451318707317,-0.42826864,0.001
492,0.1083793044090271,4,1.0,3680,3579,4.35,804,0.00016718600818421692,-0.4367517,0.001
496,0.11204996705055237,4,1.0,3696,3595,4.31,807,0.000388559652492404,-0.42735555,0.001
500,0.15638749301433563,4,1.0,3712,3611,4.33,809,0.00024430413031950593,-0.43389586999999996,0.001
504,0.11835690587759018,4,1.0,3739,3638,4.42,815,0.00023953430354595184,-0.4456673,0.001
508,0.1235228106379509,4,1.0,3756,3655,4.48,817,0.00023550637706648558,-0.4550559599999999,0.001
512,0.15876460075378418,4,1.0,3778,3677,4.51,822,0.00017105822917073965,-0.45763022999999997,0.001
516,0.11987064778804779,4,1.0,3793,3692,4.52,825,0.00016642016998957843,-0.46353842,0.001
520,0.11556462943553925,4,1.0,3810,3709,4.48,828,0.0002602349268272519,-0.4611852199999999,0.001
524,0.11026491969823837,4,1.0,3829,3728,4.48,831,0.00020577323448378593,-0.46782570999999995,0.001
528,0.13183805346488953,4,1.0,3846,3745,4.48,835,0.0003210548311471939,-0.4639643300000001,0.001
532,0.11418743431568146,4,1.0,3866,3765,4.5,842,0.00026168685872107744,-0.46935302000000007,0.001
536,0.09326827526092529,4,1.0,3885,3784,4.55,849,0.0001916516775963828,-0.47668015000000014,0.001
540,0.14453867077827454,4,0.99,3947,3846,5.08,860,0.00018581305630505085,-0.51745478,0.001
544,0.11343961209058762,4,0.99,3963,3862,5.08,862,0.00014263387129176408,-0.5203083000000001,0.001
548,0.11440583318471909,4,0.99,3983,3882,5.11,865,0.00021188480604905635,-0.52601252,0.001
552,0.1455828696489334,4,0.99,4001,3900,5.06,868,0.00032634311355650425,-0.51590401,0.001
556,0.11086305975914001,4,0.99,4025,3924,5.12,872,0.00022742091096006334,-0.5227397300000001,0.001
560,0.1290431022644043,4,0.99,4046,3945,5.05,876,0.00021420851408038288,-0.52119824,0.001
564,0.13253554701805115,4,0.99,4066,3965,5.11,879,0.00019205418357159942,-0.53105833,0.001
568,0.12974749505519867,4,0.99,4079,3978,5.06,881,0.0002635273558553308,-0.52406591,0.001
572,0.13832032680511475,4,0.99,4101,4000,5.18,886,0.0002471420739311725,-0.54529015,0.001
576,0.1347976177930832,4,0.99,4118,4017,5.15,890,0.00019954275921918452,-0.53694727,0.001
580,0.13166296482086182,4,0.99,4135,4034,5.15,892,0.00022303994046524167,-0.53436955,0.001
584,0.10798290371894836,4,0.99,4154,4053,5.16,894,0.0001779236481525004,-0.53577285,0.001
588,0.14841027557849884,4,0.99,4169,4068,5.1,896,0.00015412320499308407,-0.53155682,0.001
592,0.11769210547208786,4,0.99,4191,4090,5.11,899,0.00021276072948239744,-0.53649267,0.001
596,0.12396064400672913,4,0.99,4213,4112,5.17,903,0.00025993044255301356,-0.54920483,0.001
600,0.14738640189170837,4,0.99,4228,4127,5.16,906,0.0003366267483215779,-0.54605708,0.001
604,0.12952755391597748,4,0.99,4254,4153,5.15,913,0.0002860893146134913,-0.5456161600000001,0.001
608,0.13076485693454742,4,0.99,4272,4171,5.16,920,0.00036633264971897006,-0.5490092599999999,0.001
612,0.10960447043180466,4,0.99,4292,4191,5.14,924,0.00013698238763026893,-0.54633946,0.001
616,0.13707919418811798,4,0.99,4310,4209,5.17,929,0.00021407041640486568,-0.54726893,0.001
620,0.1425982564687729,4,0.99,4333,4232,5.23,936,0.0001771136885508895,-0.55493772,0.001
624,0.12380708009004593,4,0.99,4344,4243,5.15,942,0.00021443354489747435,-0.54145612,0.001
628,0.0972411185503006,4,0.99,4357,4256,5.11,944,0.00023903415421955287,-0.53781247,0.001
632,0.10191486775875092,4,0.99,4372,4271,5.06,946,0.0001994493359234184,-0.5303181699999999,0.001
636,0.1297222226858139,4,0.99,4391,4290,5.06,950,0.00029473580070771277,-0.5257155099999999,0.001
640,0.12008728832006454,4,1.0,4406,4305,4.59,952,0.0003222417435608804,-0.49303431,0.001
644,0.10880759358406067,4,1.0,4422,4321,4.59,956,0.00026465713744983077,-0.49003789999999986,0.001
648,0.12308633327484131,4,1.0,4435,4334,4.52,960,0.0002207720244769007,-0.47888743,0.001
652,0.13383057713508606,4,1.0,4460,4359,4.59,966,0.00023406058608088642,-0.48657832999999995,0.001
656,0.13370171189308167,4,1.0,4479,4378,4.54,969,0.0002469127648510039,-0.48390489000000003,0.001
660,0.12354561686515808,4,1.0,4495,4394,4.49,971,0.00033128217910416424,-0.4725657200000001,0.001
664,0.11462447047233582,4,1.0,4515,4414,4.49,977,0.00016448006499558687,-0.46972303,0.001
668,0.12752246856689453,4,1.0,4534,4433,4.55,979,0.00025822658790275455,-0.47975957999999996,0.001
672,0.14265364408493042,4,1.0,4547,4446,4.46,982,0.00014283359632827342,-0.46303973,0.001
676,0.13610121607780457,4,1.0,4567,4466,4.49,986,0.000224868708755821,-0.46672858,0.001
680,0.13861404359340668,4,1.0,4579,4478,4.44,988,0.0001875291927717626,-0.46173608,0.001
684,0.11874672770500183,4,1.0,4594,4493,4.4,991,0.0001674954401096329,-0.4590156700000001,0.001
688,0.13706566393375397,4,1.0,4611,4510,4.42,994,0.00015702549717389047,-0.4637711300000001,0.001
692,0.12206628918647766,4,1.0,4634,4533,4.43,997,0.00018893979722633958,-0.4600221500000001,0.001
696,0.13421763479709625,4,1.0,4653,4552,4.4,999,0.00016062476788647473,-0.45335591000000003,0.001
700,0.1197470873594284,4,1.0,4667,4566,4.39,1001,0.00018695078324526548,-0.45210418,0.001
704,0.11647164821624756,4,1.0,4680,4579,4.26,1002,0.00015060383884701878,-0.4342470299999999,0.001
708,0.10328449308872223,4,1.0,4697,4596,4.25,1006,0.00014816125622019172,-0.43606861,0.001
712,0.1518326997756958,4,1.0,4716,4615,4.24,1009,0.00020571165077853948,-0.43642203,0.001
