time/fps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss
20,0.9833307266235352,0.26534491777420044,-0.08445341885089874,7,0.25,-39.15,39.5,4,158,57,0.0003,-3.3201701641082764
15,0.9260651469230652,0.21679747104644775,-0.3869589865207672,22,0.125,-44.575,44.75,8,358,257,0.0003,-3.929759979248047
14,0.8850497603416443,0.19170036911964417,-0.6163409948348999,34,0.16666666666666666,-42.21666666666667,42.416666666666664,12,509,408,0.0003,-4.443903923034668
14,0.8335041403770447,0.1887713521718979,-0.9203300476074219,50,0.125,-44.1625,44.3125,16,709,608,0.0003,-5.059731960296631
14,0.7849375605583191,0.19411329925060272,-1.2232719659805298,63,0.1,-45.33,45.45,20,909,808,0.0003,-5.571163177490234
14,0.7474644184112549,0.29123836755752563,-1.4631576538085938,74,0.125,-44.525,44.666666666666664,24,1072,971,0.0003,-5.85614013671875
14,0.7143620848655701,0.2913607358932495,-1.6932296752929688,86,0.14285714285714285,-43.521428571428565,43.67857142857143,28,1223,1122,0.0003,-6.158685684204102
13,0.6727927923202515,0.19131910800933838,-1.9920774698257446,102,0.125,-44.33125,44.46875,32,1423,1322,0.0003,-6.719594478607178
13,0.6449583768844604,0.19594082236289978,-2.210578680038452,111,0.16666666666666666,-43.266666666666666,43.44444444444444,36,1564,1463,0.0003,-6.933807373046875
13,0.6157138347625732,0.43919700384140015,-2.4348180294036865,123,0.175,-42.79,42.975,40,1719,1618,0.0003,-7.088245868682861
13,0.5799915194511414,0.2635502815246582,-2.7456138134002686,137,0.1590909090909091,-43.445454545454545,43.61363636363637,44,1919,1818,0.0003,-7.2793192863464355
14,0.5463647246360779,0.20847848057746887,-3.028474807739258,150,0.14583333333333334,-43.98333333333333,44.145833333333336,48,2119,2018,0.0003,-7.412164211273193
14,0.5209226608276367,0.2972660958766937,-3.210472583770752,162,0.15384615384615385,-43.6576923076923,43.82692307692308,52,2279,2178,0.0003,-7.532679080963135
13,0.4908250570297241,0.23610416054725647,-3.526745080947876,178,0.14285714285714285,-44.11071428571428,44.267857142857146,56,2479,2378,0.0003,-7.541064262390137
13,0.4625466763973236,0.20426201820373535,-3.8570284843444824,194,0.13333333333333333,-44.50333333333333,44.65,60,2679,2578,0.0003,-7.886117458343506
13,0.4454619288444519,0.171109139919281,-3.9639995098114014,205,0.15625,-43.675,43.84375,64,2806,2705,0.0003,-7.937318325042725
13,0.42602789402008057,0.20978891849517822,-4.1829094886779785,216,0.16176470588235295,-43.311764705882354,43.48529411764706,68,2957,2856,0.0003,-7.714232921600342
13,0.4016288220882416,0.26905182003974915,-4.4708404541015625,231,0.1527777777777778,-43.68333333333333,43.84722222222222,72,3157,3056,0.0003,-7.723637580871582
13,0.378690630197525,0.1785179078578949,-4.748442649841309,247,0.14473684210526316,-44.01578947368421,44.171052631578945,76,3357,3256,0.0003,-7.719611167907715
13,0.36082130670547485,0.15317431092262268,-4.936411380767822,261,0.15,-43.864999999999995,44.025,80,3522,3421,0.0003,-7.537969589233398
13,0.34778234362602234,0.21221506595611572,-5.0602803230285645,273,0.16666666666666666,-43.24761904761905,43.42857142857143,84,3648,3547,0.0003,-7.025035381317139
13,0.3281111419200897,0.17288756370544434,-5.201599597930908,290,0.1590909090909091,-43.554545454545455,43.72727272727273,88,3848,3747,0.0003,-6.911113262176514
13,0.3116123378276825,0.1839260756969452,-5.459166526794434,307,0.16304347826086957,-43.584782608695654,43.76086956521739,92,4026,3925,0.0003,-6.934822082519531
13,0.30186718702316284,0.20737537741661072,-5.518198013305664,316,0.17708333333333334,-42.893750000000004,43.083333333333336,96,4136,4035,0.0003,-6.5797224044799805
13,0.28500762581825256,0.21384590864181519,-5.838895797729492,333,0.17,-43.178000000000004,43.36,100,4336,4235,0.0003,-6.788094520568848
13,0.27244552969932556,0.15724515914916992,-5.850780487060547,343,0.17,-43.18,43.36,104,4494,4393,0.0003,-6.5467376708984375
13,0.2637467086315155,0.3416061997413635,-6.0455732345581055,350,0.19,-42.298,42.5,108,4608,4507,0.0003,-6.224453449249268
13,0.2506202459335327,0.18505141139030457,-6.175568580627441,364,0.19,-42.588,42.79,112,4788,4687,0.0003,-6.125579833984375
13,0.23990342020988464,0.17791453003883362,-6.264567852020264,376,0.2,-42.118,42.33,116,4942,4841,0.0003,-5.603910446166992
13,0.2372012436389923,0.2301601767539978,-6.203178882598877,380,0.24,-40.478,40.73,120,4982,4881,0.0003,-5.722808837890625
13,0.22952622175216675,0.1762390434741974,-6.433486461639404,388,0.25,-40.008,40.27,124,5099,4998,0.0003,-5.406814098358154
13,0.22274644672870636,0.17359799146652222,-6.344011306762695,397,0.26,-39.558,39.83,128,5206,5105,0.0003,-5.821581840515137
13,0.21748679876327515,0.23893433809280396,-6.539109706878662,404,0.29,-38.388000000000005,38.69,132,5292,5191,0.0003,-5.3021931648254395
13,0.21554632484912872,0.2362460345029831,-6.3398637771606445,406,0.31,-37.278,37.6,136,5324,5223,0.0003,-5.346710205078125
13,0.2090941071510315,0.2360953986644745,-6.302196025848389,415,0.32,-36.808,37.14,140,5433,5332,0.0003,-4.798133850097656
13,0.20771507918834686,0.17417487502098083,-6.339654445648193,417,0.36,-35.008,35.38,144,5457,5356,0.0003,-4.993475437164307
13,0.19873164594173431,0.2922273874282837,-6.739137649536133,428,0.37,-34.602,34.98,148,5617,5516,0.0003,-4.640990257263184
13,0.1949392408132553,0.20456689596176147,-6.583099842071533,434,0.39,-33.681999999999995,34.08,152,5687,5586,0.0003,-4.666225433349609
13,0.1894431859254837,0.33491092920303345,-6.663422584533691,441,0.42,-32.69,33.12,156,5791,5690,0.0003,-4.250334739685059
13,0.1864437609910965,0.20880155265331268,-6.860346794128418,446,0.45,-31.24,31.7,160,5849,5748,0.0003,-4.6000800132751465
13,0.18491783738136292,0.33768969774246216,-6.890788555145264,449,0.47,-30.25,30.73,164,5879,5778,0.0003,-4.438234329223633
13,0.1814686805009842,0.1673254370689392,-6.811829090118408,453,0.5,-29.4,29.91,168,5948,5847,0.0003,-4.591300010681152
13,0.17915953695774078,0.2829461991786957,-6.630046844482422,457,0.54,-27.83,28.38,172,5995,5894,0.0003,-4.144120216369629
13,0.17347262799739838,0.3655036985874176,-6.816407680511475,467,0.56,-27.0,27.57,176,6114,6013,0.0003,-4.281011581420898
13,0.17231111228466034,0.20275205373764038,-6.7070112228393555,469,0.59,-25.57,26.17,180,6139,6038,0.0003,-4.0775604248046875
13,0.1709754765033722,0.2940974831581116,-6.605612754821777,470,0.61,-24.583999999999996,25.2,184,6168,6067,0.0003,-4.012516975402832
13,0.1676609218120575,0.3061150014400482,-6.806657791137695,476,0.64,-23.283999999999995,23.93,188,6241,6140,0.0003,-4.12971830368042
13,0.16351807117462158,0.21208927035331726,-6.553132057189941,484,0.66,-22.413999999999998,23.08,192,6334,6233,0.0003,-3.8396711349487305
13,0.16012020409107208,0.1796373873949051,-6.588799476623535,490,0.67,-22.083999999999996,22.76,196,6412,6311,0.0003,-3.620981216430664
13,0.15768979489803314,0.22171705961227417,-6.823048114776611,494,0.71,-20.613999999999997,21.33,200,6469,6368,0.0003,-3.3945953845977783
13,0.15579387545585632,0.2132757604122162,-6.675000190734863,498,0.74,-19.456,20.2,204,6514,6413,0.0003,-3.3223936557769775
13,0.1546366661787033,0.22934800386428833,-6.823714733123779,499,0.76,-18.578,19.34,208,6542,6441,0.0003,-3.255988597869873
13,0.15185371041297913,0.21139737963676453,-6.558689117431641,504,0.78,-17.438,18.22,212,6610,6509,0.0003,-3.2034459114074707
13,0.15054334700107574,0.19748562574386597,-6.725589752197266,506,0.81,-16.198,17.01,216,6643,6542,0.0003,-2.851318359375
13,0.14958606660366058,0.28023234009742737,-6.4690656661987305,507,0.81,-16.038,16.85,220,6667,6566,0.0003,-3.046147584915161
13,0.14910832047462463,0.19167658686637878,-6.821462154388428,508,0.83,-14.968,15.8,224,6679,6578,0.0003,-3.202193260192871
13,0.148429736495018,0.2090722918510437,-6.594720363616943,509,0.85,-14.048,14.9,228,6696,6595,0.0003,-3.281809091567993
13,0.14768308401107788,0.1920134276151657,-6.9983978271484375,510,0.86,-13.368,14.23,232,6715,6614,0.0003,-3.0120153427124023
13,0.14626944065093994,0.229070246219635,-6.379176139831543,513,0.86,-13.408,14.27,236,6751,6650,0.0003,-2.6000962257385254
13,0.14545215666294098,0.2408284842967987,-6.663145065307617,514,0.88,-12.508,13.39,240,6772,6671,0.0003,-3.0750937461853027
13,0.14459678530693054,0.24372245371341705,-6.800971031188965,515,0.88,-12.488,13.37,244,6794,6693,0.0003,-3.1929237842559814
13,0.14352397620677948,0.2606252133846283,-6.6161394119262695,517,0.91,-11.138,12.05,248,6822,6721,0.0003,-2.9574968814849854
13,0.14299416542053223,0.21496811509132385,-6.9504313468933105,518,0.92,-10.568,11.49,252,6836,6735,0.0003,-2.8041841983795166
13,0.14223887026309967,0.2482345998287201,-6.718469619750977,519,0.93,-9.72,10.65,256,6856,6755,0.0003,-2.8976807594299316
13,0.1413058638572693,0.18656840920448303,-6.562124729156494,521,0.94,-9.38,10.32,260,6881,6780,0.0003,-3.151609182357788
13,0.14008061587810516,0.20033398270606995,-6.860798358917236,523,0.94,-9.41,10.35,264,6914,6813,0.0003,-2.7261974811553955
13,0.1394113302230835,0.22866472601890564,-6.844642639160156,524,0.94,-8.9,9.84,268,6932,6831,0.0003,-2.6829147338867188
13,0.1388973444700241,0.19686850905418396,-6.682191848754883,525,0.94,-8.57,9.51,272,6946,6845,0.0003,-2.6196937561035156
13,0.13838499784469604,0.2109425961971283,-6.972257614135742,526,0.96,-7.5,8.46,276,6960,6859,0.0003,-2.645453929901123
13,0.1376553177833557,0.24325531721115112,-6.25969123840332,528,0.96,-7.45,8.41,280,6980,6879,0.0003,-2.236638069152832
13,0.13682878017425537,0.26376616954803467,-6.720602989196777,530,0.96,-7.39,8.35,284,7003,6902,0.0003,-2.070714235305786
13,0.13604684174060822,0.2134232521057129,-6.243488311767578,531,0.97,-6.87,7.84,288,7025,6924,0.0003,-2.309417486190796
13,0.1355188637971878,0.23532649874687195,-6.973444938659668,533,0.98,-6.08,7.06,292,7040,6939,0.0003,-2.678363800048828
13,0.1346014440059662,0.27412232756614685,-6.648125171661377,535,0.99,-5.55,6.54,296,7066,6965,0.0003,-2.1957333087921143
13,0.13407562673091888,0.2761673927307129,-6.606269836425781,536,0.99,-5.13,6.12,300,7081,6980,0.0003,-2.4838356971740723
13,0.13351693749427795,0.2574804425239563,-6.299339771270752,537,0.99,-4.84,5.83,304,7097,6996,0.0003,-2.6771082878112793
13,0.13286171853542328,0.20012810826301575,-6.962767601013184,539,0.99,-4.75,5.74,308,7116,7015,0.0003,-2.2643373012542725
13,0.1321028620004654,0.2524644136428833,-6.673966407775879,540,1.0,-4.28,5.28,312,7138,7037,0.0003,-2.5300190448760986
13,0.13154718279838562,0.2861136198043823,-6.872732639312744,541,1.0,-4.11,5.11,316,7154,7053,0.0003,-2.4070780277252197
13,0.13055631518363953,0.21338027715682983,-6.264124870300293,543,1.0,-4.16,5.16,320,7183,7082,0.0003,-2.2541778087615967
13,0.12977293133735657,0.24592933058738708,-7.131275653839111,545,1.0,-4.27,5.27,324,7206,7105,0.0003,-2.478869676589966
13,0.12926609814167023,0.24858863651752472,-7.220638275146484,546,1.0,-4.25,5.25,328,7221,7120,0.0003,-2.1228387355804443
13,0.12873242795467377,0.22881947457790375,-6.641363143920898,547,1.0,-4.22,5.22,332,7237,7136,0.0003,-2.3012046813964844
13,0.12803411483764648,0.2192375361919403,-6.429693698883057,548,1.0,-4.07,5.07,336,7258,7157,0.0003,-2.0188138484954834
13,0.12764163315296173,0.23489147424697876,-6.537043571472168,549,1.0,-3.98,4.98,340,7270,7169,0.0003,-1.9641674757003784
13,0.1273161768913269,0.24325597286224365,-6.623031139373779,550,1.0,-3.86,4.86,344,7280,7179,0.0003,-2.2439327239990234
13,0.12682148814201355,0.24282661080360413,-6.392371654510498,552,1.0,-3.73,4.73,348,7295,7194,0.0003,-2.3367795944213867
13,0.1264667958021164,0.2777213454246521,-6.506042003631592,553,1.0,-3.7,4.7,352,7306,7205,0.0003,-2.2341296672821045
13,0.1261151134967804,0.1968877911567688,-6.655913829803467,554,1.0,-3.61,4.61,356,7317,7216,0.0003,-1.8761506080627441
13,0.12572582066059113,0.2093680500984192,-6.692903518676758,555,1.0,-3.48,4.48,360,7329,7228,0.0003,-2.05998158454895
13,0.12537412345409393,0.30203521251678467,-6.716487884521484,555,1.0,-3.26,4.26,364,7340,7239,0.0003,-2.264349937438965
13,0.12489612400531769,0.23127061128616333,-6.409234046936035,556,1.0,-3.23,4.23,368,7355,7254,0.0003,-2.09214448928833
13,0.1241733729839325,0.20774921774864197,-6.378582954406738,558,1.0,-3.32,4.32,372,7378,7277,0.0003,-2.581019163131714
13,0.12373616546392441,0.21903884410858154,-6.833125114440918,559,1.0,-3.32,4.32,376,7392,7291,0.0003,-2.3205113410949707
13,0.12317101657390594,0.347282737493515,-6.31806755065918,560,1.0,-3.3,4.3,380,7410,7309,0.0003,-2.4525582790374756
13,0.12261068820953369,0.2393358051776886,-6.218708038330078,562,1.0,-3.25,4.25,384,7428,7327,0.0003,-1.9276695251464844
13,0.12217845767736435,0.24486325681209564,-6.651187896728516,563,1.0,-3.17,4.17,388,7442,7341,0.0003,-2.1907010078430176
13,0.12151630967855453,0.36074894666671753,-6.144336223602295,565,1.0,-3.23,4.23,392,7463,7362,0.0003,-1.8697158098220825
13,0.12101829797029495,0.23183196783065796,-6.439873695373535,566,1.0,-3.13,4.13,396,7479,7378,0.0003,-2.491718053817749
13,0.1205642819404602,0.2808822989463806,-6.525295734405518,567,1.0,-3.13,4.13,400,7494,7393,0.0003,-1.610607624053955
13,0.11989790201187134,0.268957257270813,-6.873532772064209,568,1.0,-3.19,4.19,404,7516,7415,0.0003,-1.9165149927139282
13,0.11965325474739075,0.2251323163509369,-6.586147785186768,569,1.0,-3.08,4.08,408,7524,7423,0.0003,-2.028874397277832
13,0.11926306784152985,0.2425014078617096,-6.505117893218994,570,1.0,-2.99,3.99,412,7537,7436,0.0003,-2.2896642684936523
13,0.1189645379781723,0.24617546796798706,-6.584643840789795,571,1.0,-2.93,3.93,416,7547,7446,0.0003,-1.73625910282135
13,0.11845364421606064,0.3152032494544983,-6.5792341232299805,572,1.0,-2.81,3.81,420,7564,7463,0.0003,-2.3073978424072266
13,0.11776787042617798,0.1939626932144165,-6.2111101150512695,574,1.0,-2.81,3.81,424,7587,7486,0.0003,-1.9891064167022705
13,0.11715085059404373,0.1898670643568039,-6.68420934677124,576,1.0,-2.87,3.87,428,7608,7507,0.0003,-1.9852815866470337
13,0.11670847982168198,0.20040950179100037,-6.212583065032959,577,1.0,-2.86,3.86,432,7623,7522,0.0003,-1.858837604522705
13,0.1162244901061058,0.25618723034858704,-6.101557731628418,578,1.0,-2.82,3.82,436,7640,7539,0.0003,-2.0262491703033447
13,0.11577107012271881,0.27240169048309326,-6.591421127319336,579,1.0,-2.86,3.86,440,7656,7555,0.0003,-1.5703026056289673
13,0.11538925021886826,0.20478495955467224,-6.42727518081665,580,1.0,-2.89,3.89,444,7669,7568,0.0003,-1.6314477920532227
13,0.11501477658748627,0.2212238907814026,-6.135685920715332,581,1.0,-2.87,3.87,448,7682,7581,0.0003,-2.0912835597991943
13,0.11466975510120392,0.2189892828464508,-6.020400047302246,583,1.0,-2.88,3.88,452,7694,7593,0.0003,-2.049259662628174
13,0.11426862329244614,0.2080075591802597,-6.525383472442627,584,1.0,-2.91,3.91,456,7708,7607,0.0003,-1.4967705011367798
13,0.1139032170176506,0.25781428813934326,-6.074206352233887,586,1.0,-2.92,3.92,460,7721,7620,0.0003,-1.86432945728302
13,0.1134231761097908,0.23096255958080292,-6.393255233764648,588,1.0,-2.98,3.98,464,7738,7637,0.0003,-1.803632378578186
13,0.11290663480758667,0.2330482453107834,-6.627934455871582,590,1.0,-3.01,4.01,468,7756,7655,0.0003,-1.2402398586273193
13,0.1124584898352623,0.27430450916290283,-6.1337080001831055,592,1.0,-2.94,3.94,472,7772,7671,0.0003,-1.5771054029464722
13,0.1120055541396141,0.22835472226142883,-6.437748908996582,594,1.0,-2.96,3.96,476,7788,7687,0.0003,-1.4622193574905396
13,0.11172617226839066,0.23181016743183136,-5.929946422576904,595,1.0,-2.88,3.88,480,7798,7697,0.0003,-1.7961757183074951
13,0.11126090586185455,0.23008227348327637,-6.282400131225586,596,1.0,-2.87,3.87,484,7815,7714,0.0003,-1.5506879091262817
13,0.11090204864740372,0.23851358890533447,-6.1265645027160645,597,1.0,-2.86,3.86,488,7828,7727,0.0003,-1.2248209714889526
13,0.11049073189496994,0.20679306983947754,-6.498036861419678,598,1.0,-2.8,3.8,492,7843,7742,0.0003,-1.759982705116272
13,0.11021305620670319,0.21624106168746948,-6.19602632522583,599,1.0,-2.74,3.74,496,7853,7752,0.0003,-1.3448435068130493
13,0.10950961709022522,0.23279884457588196,-5.7299299240112305,601,1.0,-2.85,3.85,500,7879,7778,0.0003,-1.43792724609375
13,0.1091320812702179,0.2454642653465271,-6.614800453186035,602,1.0,-2.77,3.77,504,7893,7792,0.0003,-1.988656759262085
13,0.10873080044984818,0.20517779886722565,-6.434874534606934,604,1.0,-2.84,3.84,508,7908,7807,0.0003,-1.7895292043685913
13,0.10832435637712479,0.1986096203327179,-6.316736221313477,606,1.0,-2.86,3.86,512,7923,7822,0.0003,-1.569959282875061
13,0.10773991048336029,0.234991192817688,-6.407933235168457,608,1.0,-2.98,3.98,516,7945,7844,0.0003,-1.9357315301895142
13,0.10733819007873535,0.2154754102230072,-6.1970295906066895,610,1.0,-2.96,3.96,520,7960,7859,0.0003,-1.5597517490386963
13,0.1069166362285614,0.25132739543914795,-6.952834606170654,611,1.0,-2.89,3.89,524,7976,7875,0.0003,-1.7156176567077637
13,0.10531969368457794,0.24346815049648285,-6.123164176940918,617,0.99,-3.3,4.29,528,8037,7936,0.0003,-1.4223402738571167
12,0.10446915030479431,0.22326545417308807,-6.192014694213867,621,0.99,-3.48,4.47,532,8070,7969,0.0003,-1.6951309442520142
12,0.1041368693113327,0.23385588824748993,-6.044181823730469,622,0.99,-3.44,4.43,536,8083,7982,0.0003,-1.4932461977005005
12,0.1038048267364502,0.20088812708854675,-6.401803016662598,623,0.99,-3.41,4.4,540,8096,7995,0.0003,-1.1510926485061646
12,0.10347581654787064,0.324954092502594,-6.041472911834717,624,0.99,-3.41,4.4,544,8109,8008,0.0003,-1.201169729232788
12,0.10312224924564362,0.20601768791675568,-5.989192008972168,625,0.99,-3.42,4.41,548,8123,8022,0.0003,-1.5926260948181152
12,0.10269435495138168,0.2313767671585083,-5.716835975646973,627,0.99,-3.47,4.46,552,8140,8039,0.0003,-1.5401268005371094
12,0.1023440957069397,0.21968844532966614,-6.018424987792969,627,0.99,-3.47,4.46,556,8154,8053,0.0003,-0.9852931499481201
12,0.10197312384843826,0.2113649994134903,-5.849703311920166,628,0.99,-3.49,4.48,560,8169,8068,0.0003,-1.29227876663208
12,0.10151705145835876,0.2361108958721161,-6.130598545074463,630,0.99,-3.51,4.5,564,8188,8087,0.0003,-1.4758055210113525
12,0.10125147551298141,0.23949271440505981,-6.104865074157715,631,0.99,-3.44,4.43,568,8199,8098,0.0003,-1.2912522554397583
12,0.10089025646448135,0.20884039998054504,-5.65002965927124,632,0.99,-3.43,4.42,572,8214,8113,0.0003,-1.4436875581741333
12,0.10062667727470398,0.25411146879196167,-5.969830513000488,633,0.99,-3.38,4.37,576,8225,8124,0.0003,-0.7365411520004272
12,0.10034206509590149,0.2370486855506897,-6.0670976638793945,633,0.99,-3.4,4.39,580,8237,8136,0.0003,-0.8454517126083374
12,0.09998886287212372,0.20811964571475983,-6.20353364944458,634,0.99,-3.38,4.37,584,8252,8151,0.0003,-1.6052465438842773
12,0.09955521672964096,0.22459186613559723,-6.303885459899902,636,0.99,-3.43,4.42,588,8270,8169,0.0003,-0.9335182905197144
12,0.09921828657388687,0.23024174571037292,-5.627972602844238,637,0.99,-3.42,4.41,592,8284,8183,0.0003,-1.0823794603347778
12,0.0988689437508583,0.22458727657794952,-5.528757095336914,638,0.99,-3.47,4.46,596,8299,8198,0.0003,-1.309030532836914
12,0.09863606840372086,0.19137179851531982,-5.85853910446167,639,0.99,-3.31,4.3,600,8309,8208,0.0003,-1.1994779109954834
12,0.09830557554960251,0.3060534596443176,-5.931959629058838,640,0.99,-3.31,4.3,604,8323,8222,0.0003,-0.9630077481269836
12,0.09806815534830093,0.2504035532474518,-5.934050559997559,641,0.99,-3.26,4.25,608,8333,8232,0.0003,-1.5872786045074463
12,0.09769777953624725,0.2597731053829193,-5.629491806030273,642,0.99,-3.27,4.26,612,8349,8248,0.0003,-1.272060751914978
12,0.09739267081022263,0.23722389340400696,-5.467810153961182,643,0.99,-3.18,4.17,616,8362,8261,0.0003,-1.0741932392120361
12,0.09704607725143433,0.28983229398727417,-5.869131565093994,644,0.99,-3.18,4.17,620,8377,8276,0.0003,-1.3164374828338623
12,0.09662803262472153,0.25499024987220764,-5.565676212310791,646,0.99,-3.2,4.19,624,8395,8294,0.0003,-1.1634132862091064
12,0.09625788033008575,0.22473230957984924,-6.247094631195068,647,1.0,-2.74,3.74,628,8411,8310,0.0003,-0.9561386108398438
12,0.09590711444616318,0.20313476026058197,-5.936291217803955,648,1.0,-2.56,3.56,632,8426,8325,0.0003,-1.2651395797729492
12,0.09560030698776245,0.2591422200202942,-6.082535266876221,650,1.0,-2.56,3.56,636,8439,8338,0.0003,-1.4459850788116455
12,0.09520787000656128,0.21006914973258972,-5.846590995788574,652,1.0,-2.6,3.6,640,8456,8355,0.0003,-1.388269066810608
12,0.09493803977966309,0.24312877655029297,-5.7411885261535645,653,1.0,-2.59,3.59,644,8468,8367,0.0003,-0.8851982355117798
12,0.0946214497089386,0.2105083465576172,-6.074926376342773,655,1.0,-2.59,3.59,648,8482,8381,0.0003,-1.2951796054840088
