time/total_timesteps,train/learning_rate,time/fps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss
200,0.0003,33,0.19561168551445007,4,0.9710114598274231,-50.0,0.0,99,50.0,5,-3.4703569412231445,-0.14863178133964539
400,0.0003,26,0.19389569759368896,8,0.9144619703292847,-50.0,0.0,299,50.0,15,-4.144818305969238,-0.45211315155029297
555,0.0003,24,0.2146206498146057,12,0.8728995323181152,-46.166666666666664,0.08333333333333333,454,46.25,22,-4.641602516174316,-0.6842448711395264
711,0.0003,23,0.2234157919883728,16,0.8329846262931824,-44.3125,0.125,610,44.4375,30,-5.150860786437988,-0.9245526194572449
850,0.0003,22,0.2137247771024704,20,0.798957347869873,-42.3,0.2,749,42.5,37,-5.529293060302734,-1.1342726945877075
1050,0.0003,22,0.1582089364528656,24,0.7524044513702393,-43.583333333333336,0.16666666666666666,949,43.75,47,-6.0717644691467285,-1.4387478828430176
1211,0.0003,22,0.16169938445091248,28,0.7169216871261597,-43.07142857142857,0.17857142857142858,1110,43.25,53,-6.470188140869141,-1.6795055866241455
1411,0.0003,22,0.24191491305828094,32,0.6751919984817505,-43.9375,0.15625,1310,44.09375,61,-6.815056800842285,-1.987003207206726
1611,0.0003,22,0.3684956431388855,36,0.6359190940856934,-44.611111111111114,0.1388888888888889,1510,44.75,70,-7.07667350769043,-2.279250383377075
1762,0.0003,22,0.1591177135705948,40,0.6078099012374878,-43.9,0.15,1661,44.05,77,-7.397814750671387,-2.4917330741882324
1913,0.0003,22,0.34827011823654175,44,0.5809850096702576,-43.31818181818182,0.1590909090909091,1812,43.47727272727273,85,-7.539237976074219,-2.7375152111053467
2064,0.0003,22,0.2551170289516449,48,0.5553642511367798,-42.833333333333336,0.16666666666666666,1963,43.0,92,-7.694664001464844,-2.945201873779297
2264,0.0003,21,0.22422783076763153,52,0.5231947898864746,-43.38461538461539,0.15384615384615385,2163,43.53846153846154,103,-7.8951416015625,-3.245011806488037
2422,0.0003,21,0.1753171682357788,56,0.49913692474365234,-43.089285714285715,0.16071428571428573,2321,43.25,111,-7.779382228851318,-3.464477777481079
2622,0.0003,21,0.1831565499305725,60,0.4703145921230316,-43.55,0.15,2521,43.7,121,-7.9407830238342285,-3.7603375911712646
2822,0.0003,21,0.2493305206298828,64,0.4432184100151062,-43.953125,0.140625,2721,44.09375,131,-7.901751518249512,-4.07636022567749
3022,0.0003,21,0.18906594812870026,68,0.41778600215911865,-44.30882352941177,0.1323529411764706,2921,44.44117647058823,139,-7.5980658531188965,-4.218523979187012
3173,0.0003,21,0.3404313325881958,72,0.39962971210479736,-43.93055555555556,0.1388888888888889,3072,44.06944444444444,146,-7.767893314361572,-4.377842903137207
3373,0.0003,21,0.2190179079771042,76,0.3768949508666992,-44.25,0.13157894736842105,3272,44.38157894736842,154,-7.6546807289123535,-4.725926876068115
3573,0.0003,21,0.18165156245231628,80,0.35557761788368225,-44.5375,0.125,3472,44.6625,165,-7.562647819519043,-4.939170837402344
3735,0.0003,21,0.18890276551246643,84,0.33926188945770264,-44.333333333333336,0.13095238095238096,3634,44.464285714285715,173,-7.569629669189453,-5.192831993103027
3935,0.0003,21,0.20987385511398315,88,0.3202665150165558,-44.59090909090909,0.125,3834,44.71590909090909,181,-7.5582685470581055,-5.2526679039001465
4042,0.0003,21,0.19093813002109528,92,0.31057724356651306,-43.79347826086956,0.14130434782608695,3941,43.93478260869565,186,-7.80920934677124,-5.424402236938477
4204,0.0003,21,0.1537848263978958,96,0.2965085208415985,-43.645833333333336,0.14583333333333334,4103,43.791666666666664,194,-7.268350124359131,-5.548164367675781
4317,0.0003,21,0.43979892134666443,100,0.2871054708957672,-43.01,0.16,4216,43.17,200,-7.180173873901367,-5.695374488830566
4468,0.0003,21,0.2351551502943039,104,0.27505359053611755,-42.51,0.17,4367,42.68,206,-7.29304313659668,-5.743523597717285
4668,0.0003,21,0.2599586248397827,108,0.25994330644607544,-42.51,0.17,4567,42.68,214,-7.229018211364746,-5.744112014770508
4796,0.0003,21,0.1723487228155136,112,0.2507769465446472,-42.23,0.18,4695,42.41,219,-6.709895610809326,-5.845275402069092
4909,0.0003,21,0.2003737986087799,116,0.24299229681491852,-41.79,0.19,4808,41.98,223,-6.760060787200928,-6.048874855041504
5067,0.0003,21,0.30487871170043945,120,0.23253484070301056,-41.99,0.18,4966,42.17,230,-6.162708282470703,-6.0052080154418945
5090,0.0003,21,0.18026843667030334,124,0.2310555875301361,-40.18,0.22,4989,40.4,231,-6.635985374450684,-5.987850189208984
5113,0.0003,22,0.21005184948444366,128,0.2295820415019989,-38.77,0.25,5012,39.02,232,-6.786558628082275,-6.197149753570557
5226,0.0003,22,0.19138020277023315,132,0.22248677909374237,-37.88,0.27,5125,38.15,237,-6.652329444885254,-6.1266188621521
5338,0.0003,22,0.3852972388267517,136,0.215643972158432,-36.98,0.29,5237,37.27,242,-6.241976261138916,-6.423173904418945
5400,0.0003,22,0.25884658098220825,140,0.2119453400373459,-36.07,0.31,5299,36.38,245,-6.394501686096191,-6.398920059204102
5466,0.0003,21,0.20803117752075195,144,0.20808570086956024,-35.2,0.33,5365,35.53,248,-6.3860182762146,-6.68740177154541
5528,0.0003,21,0.2777315378189087,148,0.20452871918678284,-34.29,0.35,5427,34.64,251,-6.1989874839782715,-6.582159996032715
5558,0.0003,21,0.3931786119937897,152,0.20282922685146332,-32.55,0.39,5457,32.94,253,-6.0128326416015625,-6.671616554260254
5666,0.0003,21,0.2982950806617737,156,0.1968367099761963,-32.04,0.4,5565,32.44,258,-5.856850624084473,-6.545622825622559
5773,0.0003,21,0.18065756559371948,160,0.19107511639595032,-31.09,0.42,5672,31.51,264,-6.127236843109131,-6.7319183349609375
5832,0.0003,21,0.27908027172088623,164,0.1879858672618866,-29.65,0.45,5731,30.1,266,-5.972187042236328,-6.6435041427612305
5901,0.0003,21,0.1827743947505951,168,0.18442577123641968,-28.31,0.48,5800,28.79,269,-5.721712112426758,-6.611419200897217
5964,0.0003,21,0.1764281541109085,172,0.18121649324893951,-27.41,0.5,5863,27.91,272,-5.5364227294921875,-6.507818698883057
6088,0.0003,21,0.30780160427093506,176,0.17509964108467102,-26.63,0.52,5987,27.15,281,-5.279196739196777,-6.677339553833008
6154,0.0003,21,0.39221543073654175,180,0.17191387712955475,-25.26,0.55,6053,25.81,286,-5.392636299133301,-6.704835891723633
6266,0.0003,21,0.17624425888061523,184,0.16664597392082214,-24.75,0.56,6165,25.31,293,-5.143369674682617,-6.71220588684082
6292,0.0003,21,0.19929707050323486,188,0.165460005402565,-22.97,0.6,6191,23.57,295,-5.299731731414795,-7.1166605949401855
6308,0.0003,21,0.2845970690250397,192,0.16473321616649628,-22.04,0.62,6207,22.66,296,-5.05681037902832,-6.98342752456665
6378,0.0003,21,0.27174925804138184,196,0.1615651696920395,-21.1,0.64,6277,21.74,301,-5.310276985168457,-6.809773921966553
6445,0.0003,21,0.2621423602104187,200,0.15860551595687866,-20.63,0.65,6344,21.28,306,-5.103180885314941,-6.8241400718688965
6514,0.0003,20,0.22503569722175598,204,0.15563714504241943,-19.79,0.67,6413,20.46,312,-4.58123779296875,-6.856207847595215
6556,0.0003,20,0.2179228812456131,208,0.15385134518146515,-18.17,0.71,6455,18.88,316,-4.674591064453125,-7.189631462097168
6575,0.0003,20,0.18288269639015198,212,0.15305164456367493,-17.06,0.73,6474,17.79,317,-4.3665618896484375,-6.6991286277771
6592,0.0003,20,0.25030314922332764,216,0.15234480798244476,-16.08,0.75,6491,16.83,319,-4.726561069488525,-6.751258373260498
6659,0.0003,20,0.17451277375221252,220,0.14959877729415894,-15.15,0.77,6558,15.92,324,-4.441237449645996,-7.090566635131836
6682,0.0003,20,0.2225598692893982,224,0.1486666053533554,-15.15,0.77,6581,15.92,326,-4.1803412437438965,-6.910549163818359
6712,0.0003,20,0.19352062046527863,228,0.14744648337364197,-15.22,0.77,6611,15.99,329,-4.561480522155762,-6.808904647827148
6728,0.0003,20,0.27090901136398315,232,0.1468031406402588,-14.23,0.79,6627,15.02,330,-4.0602569580078125,-6.94575834274292
6745,0.0003,20,0.20221130549907684,236,0.14612023532390594,-13.26,0.81,6644,14.07,331,-4.075037479400635,-7.006896495819092
6842,0.0003,20,0.27952539920806885,240,0.14232482016086578,-13.6,0.82,6741,14.42,339,-3.4653546810150146,-6.964784622192383
6862,0.0003,20,0.2786012291908264,244,0.14155738055706024,-13.13,0.83,6761,13.96,340,-4.198131084442139,-6.98443078994751
6881,0.0003,20,0.2700972557067871,248,0.14083214104175568,-12.69,0.84,6780,13.53,342,-3.5387232303619385,-6.704671859741211
6893,0.0003,20,0.17789986729621887,252,0.14037802815437317,-12.51,0.84,6792,13.35,343,-4.1916584968566895,-6.59715461730957
6913,0.0003,19,0.18075205385684967,256,0.13962210714817047,-11.61,0.86,6812,12.47,345,-4.324233531951904,-7.01820182800293
6938,0.0003,19,0.17462217807769775,260,0.13868820667266846,-10.77,0.88,6837,11.65,347,-3.8211281299591064,-6.936556816101074
6961,0.0003,19,0.1784174144268036,264,0.13782918453216553,-10.4,0.89,6860,11.29,349,-4.051770210266113,-6.760769844055176
6988,0.0003,19,0.3198894262313843,268,0.13683143258094788,-9.97,0.9,6887,10.87,352,-4.005026817321777,-6.967636585235596
7067,0.0003,19,0.3421088457107544,272,0.13398116827011108,-10.13,0.9,6966,11.03,358,-3.7329354286193848,-6.987905025482178
7095,0.0003,19,0.19607309997081757,276,0.13299216330051422,-9.15,0.92,6994,10.07,360,-3.757052421569824,-6.629909515380859
7141,0.0003,19,0.21855100989341736,280,0.13138160109519958,-8.94,0.93,7040,9.87,365,-3.4091992378234863,-7.001690864562988
7158,0.0003,19,0.33677181601524353,284,0.1307888776063919,-7.97,0.95,7057,8.92,367,-3.8285257816314697,-7.0296502113342285
7174,0.0003,19,0.3051068186759949,288,0.13022981584072113,-7.87,0.95,7073,8.82,369,-3.370131492614746,-6.919244289398193
7187,0.0003,19,0.20308473706245422,292,0.1297825574874878,-7.84,0.95,7086,8.79,371,-3.6780905723571777,-7.001040935516357
7236,0.0003,19,0.2278631329536438,296,0.12811461091041565,-7.62,0.96,7135,8.58,376,-2.978663206100464,-6.468369483947754
7255,0.0003,19,0.21752016246318817,300,0.12747211754322052,-7.13,0.97,7154,8.1,377,-3.2329483032226562,-7.232955455780029
7271,0.0003,19,0.24165233969688416,304,0.12693056464195251,-6.59,0.98,7170,7.57,378,-3.3025946617126465,-6.795787334442139
7289,0.0003,19,0.21516841650009155,308,0.1263335943222046,-6.35,0.98,7188,7.33,379,-3.1332578659057617,-6.7937235832214355
7310,0.0003,19,0.2755415737628937,312,0.12563295662403107,-6.37,0.98,7209,7.35,380,-3.3093464374542236,-7.241508483886719
7328,0.0003,19,0.3270203173160553,316,0.12504363059997559,-6.38,0.98,7227,7.36,381,-2.703010082244873,-6.759891033172607
7344,0.0003,19,0.296857625246048,320,0.12452498823404312,-5.86,0.99,7243,6.85,382,-3.225525379180908,-7.349442005157471
7358,0.0003,19,0.25520622730255127,324,0.12405809015035629,-5.77,0.99,7257,6.76,383,-3.516329050064087,-6.535904407501221
7372,0.0003,19,0.3055032193660736,328,0.1236032173037529,-5.61,0.99,7271,6.6,384,-3.16745662689209,-6.97367000579834
7390,0.0003,19,0.25490185618400574,332,0.1230207234621048,-5.63,0.99,7289,6.62,385,-3.221064329147339,-6.686814308166504
7408,0.0003,19,0.2456989884376526,336,0.12244245409965515,-5.64,0.99,7307,6.63,386,-3.7456674575805664,-7.205120086669922
7421,0.0003,19,0.2906638979911804,340,0.12201663851737976,-4.8,0.99,7320,5.79,387,-3.1136958599090576,-6.696103572845459
7442,0.0003,19,0.2675723135471344,344,0.12135446816682816,-4.81,0.99,7341,5.8,389,-3.977013349533081,-6.779837608337402
7466,0.0003,19,0.2658083140850067,348,0.12059331685304642,-4.86,0.99,7365,5.85,391,-3.162479877471924,-7.090909481048584
7481,0.0003,19,0.22415602207183838,352,0.12011947482824326,-4.89,0.99,7380,5.88,392,-3.036012887954712,-6.688933849334717
7501,0.0003,19,0.23373958468437195,356,0.11948975920677185,-4.89,0.99,7400,5.88,393,-2.7388134002685547,-6.896880626678467
7541,0.0003,19,0.2077716439962387,360,0.11823466420173645,-5.04,0.99,7440,6.03,395,-2.3677737712860107,-7.004855155944824
7568,0.0003,19,0.2778272032737732,364,0.11740118265151978,-5.08,0.99,7467,6.07,397,-3.0689640045166016,-6.818554401397705
7627,0.0003,19,0.2287282645702362,368,0.11559510231018066,-5.41,0.98,7526,6.39,400,-2.6253652572631836,-7.089031219482422
7640,0.0003,19,0.24220940470695496,372,0.11520466208457947,-4.74,0.99,7539,5.73,401,-3.2300331592559814,-6.92301082611084
7656,0.0003,19,0.3098450005054474,376,0.11472263932228088,-4.62,0.99,7555,5.61,402,-2.6827569007873535,-6.7592902183532715
7673,0.0003,18,0.2753501534461975,380,0.11422144621610641,-4.33,0.99,7572,5.32,404,-2.91922926902771,-7.237123966217041
7714,0.0003,18,0.32977473735809326,384,0.11301074922084808,-4.57,0.99,7613,5.56,408,-2.295428514480591,-7.2101898193359375
7735,0.0003,18,0.23307210206985474,388,0.11239265650510788,-4.62,0.99,7634,5.61,410,-2.935242176055908,-6.722104549407959
7757,0.0003,18,0.2570153474807739,392,0.11174549162387848,-4.71,0.99,7656,5.7,412,-2.4909682273864746,-6.551643371582031
7825,0.0003,18,0.2444959580898285,396,0.10979552567005157,-4.9,0.99,7724,5.89,417,-2.391256332397461,-7.150884628295898
7842,0.0003,18,0.27344951033592224,400,0.10930874198675156,-4.88,0.99,7741,5.87,418,-2.347900867462158,-6.984136581420898
7862,0.0003,18,0.218399778008461,404,0.10874637961387634,-4.92,0.99,7761,5.91,419,-2.211733818054199,-6.701510906219482
7885,0.0003,18,0.242998868227005,408,0.10810082405805588,-4.97,0.99,7784,5.96,421,-2.244795560836792,-6.6231536865234375
7907,0.0003,18,0.235234797000885,412,0.10749941319227219,-4.98,0.99,7806,5.97,422,-2.6750800609588623,-6.575833797454834
7922,0.0003,18,0.23357653617858887,416,0.10708692669868469,-4.95,0.99,7821,5.94,423,-2.2926008701324463,-6.629608154296875
7962,0.0003,18,0.22893266379833221,420,0.10598798096179962,-5.19,0.99,7861,6.18,425,-2.719560146331787,-6.796356201171875
7980,0.0003,18,0.22880819439888,424,0.10549498349428177,-5.23,0.99,7879,6.22,426,-2.454672336578369,-6.283385753631592
7999,0.0003,18,0.2357044219970703,428,0.10498793423175812,-5.28,0.99,7898,6.27,428,-2.3016724586486816,-6.904496192932129
8012,0.0003,18,0.2624967098236084,432,0.10463910549879074,-5.23,0.99,7911,6.22,428,-2.297868490219116,-6.399316310882568
8024,0.0003,18,0.25653356313705444,436,0.10432342439889908,-5.17,0.99,7923,6.16,429,-2.621147632598877,-6.952043056488037
8043,0.0003,18,0.2621987462043762,440,0.10381913185119629,-5.23,0.99,7942,6.22,430,-2.1989169120788574,-6.816629409790039
8064,0.0003,18,0.22366774082183838,444,0.10326620191335678,-5.23,0.99,7963,6.22,431,-2.4122228622436523,-7.042287826538086
8080,0.0003,18,0.24059414863586426,448,0.10284896939992905,-5.15,0.99,7979,6.14,432,-2.2725095748901367,-6.7899041175842285
8124,0.0003,18,0.2923758625984192,452,0.10170426964759827,-5.44,0.99,8023,6.43,436,-2.0321803092956543,-6.5850911140441895
8142,0.0003,18,0.25153136253356934,456,0.10123933106660843,-5.42,0.99,8041,6.41,437,-1.7382856607437134,-6.2012858390808105
8153,0.0003,18,0.21389634907245636,460,0.10095760971307755,-5.13,0.99,8052,6.12,437,-2.793637990951538,-6.060971736907959
8169,0.0003,18,0.23505204916000366,464,0.10054802149534225,-5.02,0.99,8068,6.01,438,-2.089885711669922,-6.8938398361206055
8181,0.0003,18,0.27985477447509766,468,0.10023821890354156,-4.54,1.0,8080,5.54,439,-2.2464590072631836,-6.477828502655029
