time/time_elapsed,train/ent_coef_loss,train/actor_loss,time/episodes,train/learning_rate,train/critic_loss,rollout/success_rate,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps
11,-0.10945448279380798,-4.288346767425537,4,0.0003,0.09363685548305511,0.25,73,0.9786205291748047,43.5,15,-43.25,174
30,-0.37113648653030396,-5.346738815307617,8,0.0003,0.11147470027208328,0.25,247,0.9288392066955566,43.5,11,-43.25,348
55,-0.6765674948692322,-6.526863098144531,12,0.0003,0.06820935010910034,0.16666666666666666,447,0.8747555017471313,45.666666666666664,9,-45.5,548
78,-0.9790769219398499,-7.642192363739014,16,0.0003,0.07534947991371155,0.125,647,0.8238435983657837,46.75,9,-46.625,748
99,-1.229805588722229,-8.587677001953125,20,0.0003,0.04027538374066353,0.15,817,0.7829146385192871,45.9,9,-45.75,918
136,-1.5239698886871338,-9.65974235534668,24,0.0003,0.033887993544340134,0.125,1017,0.7373834848403931,46.583333333333336,8,-46.458333333333336,1118
173,-1.8308618068695068,-10.562996864318848,28,0.0003,0.036173805594444275,0.10714285714285714,1217,0.6945039629936218,47.07142857142857,7,-46.964285714285715,1318
223,-2.1220946311950684,-11.388065338134766,32,0.0003,0.09271586686372757,0.09375,1417,0.6541684865951538,47.4375,6,-47.34375,1518
270,-2.4244866371154785,-12.464763641357422,36,0.0003,0.07620970904827118,0.08333333333333333,1617,0.6161820888519287,47.72222222222222,6,-47.638888888888886,1718
324,-2.7068748474121094,-13.136650085449219,40,0.0003,0.03868136554956436,0.075,1817,0.5804278254508972,47.95,5,-47.875,1918
368,-3.0163679122924805,-13.644109725952148,44,0.0003,0.03514069318771362,0.06818181818181818,2017,0.5467433333396912,48.13636363636363,5,-48.06818181818182,2118
394,-3.289022922515869,-14.327407836914062,48,0.0003,0.07254225015640259,0.08333333333333333,2175,0.5215160846710205,47.416666666666664,5,-47.333333333333336,2276
431,-3.517493724822998,-14.781283378601074,52,0.0003,0.06469234824180603,0.07692307692307693,2375,0.4912676215171814,47.61538461538461,5,-47.53846153846154,2476
477,-3.8250954151153564,-15.525148391723633,56,0.0003,0.048946186900138855,0.07142857142857142,2575,0.4628506004810333,47.785714285714285,5,-47.714285714285715,2676
525,-4.109397888183594,-15.849859237670898,60,0.0003,0.04339272901415825,0.06666666666666667,2775,0.43610021471977234,47.93333333333333,5,-47.86666666666667,2876
584,-4.40515661239624,-16.224496841430664,64,0.0003,0.05179871618747711,0.0625,2975,0.4109189808368683,48.0625,5,-48.0,3076
628,-4.654006004333496,-16.73629379272461,68,0.0003,0.04642416536808014,0.058823529411764705,3175,0.38714683055877686,48.1764705882353,5,-48.11764705882353,3276
683,-4.960139274597168,-16.921335220336914,72,0.0003,0.05856199562549591,0.06944444444444445,3371,0.36519932746887207,48.22222222222222,5,-48.15277777777778,3472
758,-5.291614532470703,-17.368444442749023,76,0.0003,0.042098961770534515,0.06578947368421052,3571,0.34411466121673584,48.31578947368421,4,-48.25,3672
799,-5.5222039222717285,-17.6340274810791,80,0.0003,0.04953354597091675,0.0625,3771,0.32423344254493713,48.4,4,-48.3375,3872
827,-5.66840124130249,-17.956295013427734,84,0.0003,0.041316207498311996,0.07142857142857142,3928,0.309430867433548,47.964285714285715,4,-47.892857142857146,4029
863,-6.044878005981445,-18.151517868041992,88,0.0003,0.06356823444366455,0.06818181818181818,4128,0.2915736138820648,48.05681818181818,4,-47.98863636363637,4229
910,-6.314776420593262,-18.112226486206055,92,0.0003,0.41611814498901367,0.06521739130434782,4328,0.27476826310157776,48.141304347826086,4,-48.07608695652174,4429
962,-6.519981384277344,-18.59402084350586,96,0.0003,0.07172141224145889,0.0625,4528,0.258921355009079,48.21875,4,-48.15625,4629
1015,-6.875838279724121,-19.004573822021484,100,0.0003,0.06152883917093277,0.06,4728,0.2440132051706314,48.29,4,-48.23,4829
1055,-6.942521095275879,-18.792177200317383,104,0.0003,0.05440378189086914,0.07,4832,0.23661841452121735,47.59,4,-47.52,4933
1100,-7.247951507568359,-18.91240692138672,108,0.0003,0.04572879523038864,0.06,5032,0.22305642068386078,47.85,4,-47.79,5133
1154,-7.453706741333008,-18.928592681884766,112,0.0003,0.05962936580181122,0.06,5232,0.21028029918670654,47.85,4,-47.79,5333
1205,-7.554502010345459,-18.700946807861328,116,0.0003,0.04849555343389511,0.06,5432,0.19825796782970428,47.85,4,-47.79,5533
1275,-7.85726261138916,-19.034090042114258,120,0.0003,0.05595424398779869,0.05,5632,0.1868962049484253,48.15,4,-48.1,5733
1354,-8.228144645690918,-19.017053604125977,124,0.0003,0.040941741317510605,0.05,5832,0.17621555924415588,48.15,4,-48.1,5933
1500,-8.419814109802246,-18.959474563598633,128,0.0003,0.042537130415439606,0.05,6032,0.1661411076784134,48.15,4,-48.1,6133
1567,-8.863532066345215,-19.118179321289062,132,0.0003,0.03537072241306305,0.05,6232,0.15663884580135345,48.15,4,-48.1,6333
1610,-8.886026382446289,-18.814556121826172,136,0.0003,0.04974256083369255,0.05,6432,0.1476845145225525,48.15,4,-48.1,6533
1650,-9.093329429626465,-19.067296981811523,140,0.0003,0.04103148356080055,0.05,6632,0.13926002383232117,48.15,4,-48.1,6733
1683,-9.597038269042969,-18.905715942382812,144,0.0003,0.04886923357844353,0.05,6832,0.1313176155090332,48.15,4,-48.1,6933
1717,-9.592899322509766,-18.747371673583984,148,0.0003,0.042896151542663574,0.04,7032,0.12384817749261856,48.57,4,-48.53,7133
1751,-9.75295352935791,-18.381694793701172,152,0.0003,0.04821324348449707,0.04,7232,0.11681036651134491,48.57,4,-48.53,7333
1783,-9.942124366760254,-18.582420349121094,156,0.0003,0.0375446155667305,0.04,7432,0.11017115414142609,48.57,4,-48.53,7533
1832,-9.927398681640625,-18.227985382080078,160,0.0003,0.04881756752729416,0.04,7632,0.10391167551279068,48.57,4,-48.53,7733
1881,-10.100615501403809,-18.274978637695312,164,0.0003,0.03025982528924942,0.04,7832,0.09801972657442093,48.57,4,-48.53,7933
1930,-10.571955680847168,-18.25375747680664,168,0.0003,0.0332338809967041,0.04,8032,0.09248004853725433,48.57,4,-48.53,8133
1977,-10.967449188232422,-18.219404220581055,172,0.0003,0.03549946844577789,0.03,8232,0.08725050091743469,48.61,4,-48.58,8333
2018,-10.958809852600098,-17.86756134033203,176,0.0003,0.03306505084037781,0.03,8432,0.0823093056678772,48.61,4,-48.58,8533
2052,-11.100574493408203,-17.66265869140625,180,0.0003,0.029427191242575645,0.03,8632,0.07767914980649948,48.61,4,-48.58,8733
2086,-11.378456115722656,-17.688180923461914,184,0.0003,0.0818404033780098,0.02,8832,0.0732920840382576,49.04,4,-49.02,8933
2123,-11.592645645141602,-17.375486373901367,188,0.0003,0.02967073582112789,0.02,9032,0.06915725022554398,49.04,4,-49.02,9133
2173,-11.362852096557617,-17.296117782592773,192,0.0003,0.028514239937067032,0.02,9232,0.06526875495910645,49.04,4,-49.02,9333
2219,-11.74832820892334,-17.083528518676758,196,0.0003,0.029156845062971115,0.02,9432,0.061601556837558746,49.04,4,-49.02,9533
2258,-12.058466911315918,-16.999845504760742,200,0.0003,0.031868260353803635,0.02,9632,0.05814457684755325,49.04,4,-49.02,9733
2290,-11.962117195129395,-17.050765991210938,204,0.0003,0.02823331020772457,0.0,9832,0.05488560348749161,50.0,4,-50.0,9933
2318,-12.147825241088867,-16.66766929626465,208,0.0003,0.02947058714926243,0.0,10032,0.051822125911712646,50.0,4,-50.0,10133
2348,-12.214982032775879,-16.374526977539062,212,0.0003,0.025406595319509506,0.0,10232,0.04893793538212776,50.0,4,-50.0,10333
2385,-12.056007385253906,-16.340055465698242,216,0.0003,0.022927865386009216,0.0,10432,0.04622053727507591,50.0,4,-50.0,10533
2420,-12.222824096679688,-16.013465881347656,220,0.0003,0.023715641349554062,0.0,10632,0.04364985600113869,50.0,4,-50.0,10733
2450,-12.14603042602539,-15.97160816192627,224,0.0003,0.026565343141555786,0.0,10832,0.04122263938188553,50.0,4,-50.0,10933
2475,-12.255594253540039,-15.636425971984863,228,0.0003,0.023472223430871964,0.0,11032,0.03893647342920303,50.0,4,-50.0,11133
2496,-12.653339385986328,-15.685365676879883,232,0.0003,0.02047116681933403,0.0,11232,0.0367954783141613,50.0,4,-50.0,11333
2526,-12.82178020477295,-15.153471946716309,236,0.0003,0.018123174086213112,0.0,11432,0.03475978597998619,50.0,4,-50.0,11533
2553,-12.733776092529297,-15.311050415039062,240,0.0003,0.019712820649147034,0.0,11632,0.03283879905939102,50.0,4,-50.0,11733
2576,-13.007648468017578,-14.93510627746582,244,0.0003,0.018142227083444595,0.0,11832,0.03102889284491539,50.0,4,-50.0,11933
2597,-12.756814956665039,-14.75605297088623,248,0.0003,0.022139545530080795,0.0,12032,0.029323438182473183,50.0,4,-50.0,12133
2624,-12.606372833251953,-14.686253547668457,252,0.0003,0.016745824366807938,0.0,12232,0.027708834037184715,50.0,4,-50.0,12333
2650,-12.913036346435547,-14.648408889770508,256,0.0003,0.085505411028862,0.0,12432,0.026189208030700684,50.0,4,-50.0,12533
2665,-11.484986305236816,-14.318130493164062,260,0.0003,0.01721090078353882,0.0,12632,0.02476390078663826,50.0,4,-50.0,12733
2684,-12.80622386932373,-13.993104934692383,264,0.0003,0.014961794018745422,0.0,12832,0.02342093177139759,50.0,4,-50.0,12933
2705,-12.675945281982422,-13.859516143798828,268,0.0003,0.017634302377700806,0.0,13032,0.02213853970170021,50.0,4,-50.0,13133
2724,-14.097082138061523,-13.776073455810547,272,0.0003,0.019065476953983307,0.0,13232,0.020929493010044098,50.0,4,-50.0,13333
2743,-12.910930633544922,-13.55006217956543,276,0.0003,0.014208368957042694,0.0,13432,0.01978754997253418,50.0,4,-50.0,13533
2760,-14.10289478302002,-13.303092956542969,280,0.0003,0.015639986842870712,0.0,13632,0.01871369034051895,50.0,4,-50.0,13733
2781,-13.349609375,-13.335586547851562,284,0.0003,0.012289509177207947,0.0,13832,0.017705511301755905,50.0,5,-50.0,13933
2793,-14.087942123413086,-12.911469459533691,288,0.0003,0.01613232120871544,0.0,14032,0.0167396143078804,50.0,5,-50.0,14133
2812,-12.760345458984375,-12.972557067871094,292,0.0003,0.01437538955360651,0.0,14232,0.015838036313652992,50.0,5,-50.0,14333
2837,-12.753732681274414,-12.87885856628418,296,0.0003,0.010946683585643768,0.0,14432,0.014990403316915035,50.0,5,-50.0,14533
2859,-12.87216567993164,-12.542671203613281,300,0.0003,0.010865474119782448,0.0,14632,0.014197434298694134,50.0,5,-50.0,14733
2876,-11.864910125732422,-12.500046730041504,304,0.0003,0.011717721819877625,0.0,14832,0.013443483039736748,50.0,5,-50.0,14933
2892,-11.550251007080078,-12.130758285522461,308,0.0003,0.009992973878979683,0.0,15032,0.012735968455672264,50.0,5,-50.0,15133
2908,-12.249547004699707,-11.974445343017578,312,0.0003,0.011436637490987778,0.01,15183,0.012232762761414051,49.51,5,-49.5,15284
2924,-13.367937088012695,-11.913490295410156,316,0.0003,0.009511072188615799,0.01,15383,0.011582775041460991,49.51,5,-49.5,15484
2935,-12.391100883483887,-11.898660659790039,320,0.0003,0.008682024665176868,0.02,15549,0.011074433103203773,49.17,5,-49.15,15650
2948,-12.936792373657227,-11.519563674926758,324,0.0003,0.00915767252445221,0.02,15749,0.010491038672626019,49.17,5,-49.15,15850
2961,-11.914562225341797,-11.35338306427002,328,0.0003,0.008720289915800095,0.02,15949,0.009943638928234577,49.17,5,-49.15,16050
2982,-12.047061920166016,-11.12119197845459,332,0.0003,0.007109042257070541,0.02,16149,0.009428181685507298,49.17,5,-49.15,16250
2993,-11.460212707519531,-11.09495735168457,336,0.0003,0.00948108546435833,0.03,16304,0.00904526375234127,48.72,5,-48.69,16405
3005,-11.351541519165039,-10.849327087402344,340,0.0003,0.007511910051107407,0.03,16504,0.008573126047849655,48.72,5,-48.69,16605
3018,-10.744153022766113,-10.696022033691406,344,0.0003,0.009117921814322472,0.03,16704,0.00813108216971159,48.72,5,-48.69,16805
3037,-12.025456428527832,-10.675755500793457,348,0.0003,0.011207396164536476,0.03,16904,0.007717531640082598,48.72,5,-48.69,17005
3054,-8.802753448486328,-10.289595603942871,352,0.0003,0.012945130467414856,0.03,17104,0.007323471363633871,48.72,5,-48.69,17205
3064,-10.084761619567871,-10.143583297729492,356,0.0003,0.009721538983285427,0.04,17255,0.007043303456157446,48.23,5,-48.19,17356
3074,-11.053499221801758,-10.110736846923828,360,0.0003,0.008441751822829247,0.05,17411,0.006767344661056995,47.79,5,-47.74,17512
3087,-9.34003734588623,-9.972436904907227,364,0.0003,0.008837779983878136,0.05,17611,0.006427248474210501,47.79,5,-47.74,17712
3103,-9.725650787353516,-9.812402725219727,368,0.0003,0.008457515388727188,0.05,17811,0.00610751286149025,47.79,5,-47.74,17912
3119,-6.791826248168945,-9.679259300231934,372,0.0003,0.00764215923845768,0.05,18011,0.005809049587696791,47.79,5,-47.74,18112
3136,-8.433463096618652,-9.359883308410645,376,0.0003,0.008704053238034248,0.05,18211,0.005533439572900534,47.79,5,-47.74,18312
3153,-8.694050788879395,-9.368148803710938,380,0.0003,0.008568130433559418,0.05,18411,0.005274694878607988,47.79,5,-47.74,18512
3177,-7.572929859161377,-9.083983421325684,384,0.0003,0.00917259231209755,0.05,18611,0.005019653122872114,47.79,5,-47.74,18712
3192,-9.875338554382324,-9.010080337524414,388,0.0003,0.007840057834982872,0.05,18811,0.004777997266501188,47.79,5,-47.74,18912
3208,-6.248348712921143,-8.699265480041504,392,0.0003,0.008297599852085114,0.05,19011,0.004545165691524744,47.79,5,-47.74,19112
3232,-7.928999423980713,-8.679492950439453,396,0.0003,0.01189231127500534,0.05,19211,0.004335344303399324,47.79,5,-47.74,19312
3249,-8.021943092346191,-8.433464050292969,400,0.0003,0.006627767812460661,0.05,19411,0.004140862263739109,47.79,6,-47.74,19512
3265,-7.30247688293457,-8.394598960876465,404,0.0003,0.26803866028785706,0.06,19563,0.0040092915296554565,47.31,6,-47.25,19664
3288,-5.85186767578125,-8.191508293151855,408,0.0003,0.00677942531183362,0.06,19763,0.00384670146740973,47.31,6,-47.25,19864
