train/critic_loss,train/learning_rate,time/total_timesteps,rollout/success_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
0.10503458231687546,0.0003,200,0.0,0.9710337519645691,-4.162872791290283,-0.14776304364204407,4,6,28,50.0,-15.097476,99
0.04876222461462021,0.0003,399,0.125,0.9147744178771973,-5.273154258728027,-0.44986969232559204,8,5,68,49.875,-15.607619875000001,298
0.10101039707660675,0.0003,599,0.08333333333333333,0.8614776134490967,-6.304905414581299,-0.7529925107955933,12,6,93,49.916666666666664,-15.682894833333336,498
0.03565193712711334,0.0003,799,0.0625,0.8112738728523254,-7.341176509857178,-1.0564966201782227,16,6,114,49.9375,-16.0695408125,698
0.11940993368625641,0.0003,999,0.05,0.7640044093132019,-8.35350227355957,-1.351224422454834,20,7,142,49.95,-16.027726500000004,898
0.042531006038188934,0.0003,1199,0.041666666666666664,0.7195069789886475,-9.420509338378906,-1.6617485284805298,24,7,167,49.958333333333336,-16.668504958333333,1098
0.03817217797040939,0.0003,1399,0.03571428571428571,0.6776081919670105,-10.298871994018555,-1.957138180732727,28,6,202,49.964285714285715,-16.220103,1298
0.1588369458913803,0.0003,1558,0.0625,0.6460544466972351,-10.851171493530273,-2.202347993850708,32,6,234,48.6875,-16.25045434375,1457
0.24160785973072052,0.0003,1758,0.05555555555555555,0.6084362864494324,-11.630775451660156,-2.4929490089416504,36,6,274,48.833333333333336,-16.07290905555556,1657
0.04358159750699997,0.0003,1958,0.05,0.5730227828025818,-12.385698318481445,-2.8074676990509033,40,5,335,48.95,-16.272710949999997,1857
0.03917358070611954,0.0003,2158,0.045454545454545456,0.5396850109100342,-13.016216278076172,-3.1252975463867188,44,5,371,49.04545454545455,-16.20269915909091,2057
0.0424681194126606,0.0003,2358,0.041666666666666664,0.5082892775535583,-13.546567916870117,-3.4214773178100586,48,5,418,49.125,-16.236408833333332,2257
0.040118470788002014,0.0003,2558,0.038461538461538464,0.4787309765815735,-14.132588386535645,-3.7228989601135254,52,5,464,49.19230769230769,-16.092426500000002,2457
0.061429910361766815,0.0003,2738,0.05357142857142857,0.4536033272743225,-14.574816703796387,-3.960897922515869,56,5,495,48.892857142857146,-15.655832857142858,2637
0.05603252351284027,0.0003,2938,0.05,0.4272555112838745,-15.034029960632324,-4.268861770629883,60,5,531,48.96666666666667,-15.729346183333332,2837
0.045856259763240814,0.0003,3138,0.046875,0.40245410799980164,-15.389161109924316,-4.5840253829956055,64,5,573,49.03125,-15.530836171875,3037
0.05800677090883255,0.0003,3338,0.04411764705882353,0.37911081314086914,-15.692388534545898,-4.82309627532959,68,5,612,49.088235294117645,-15.228694044117647,3237
0.06821335107088089,0.0003,3538,0.041666666666666664,0.3571474850177765,-16.020654678344727,-5.113215923309326,72,5,653,49.138888888888886,-15.099132472222221,3437
0.3982744812965393,0.0003,3738,0.039473684210526314,0.3364645838737488,-16.22286033630371,-5.480679512023926,76,5,687,49.18421052631579,-15.288037026315788,3637
0.0731293112039566,0.0003,3938,0.0375,0.3169790208339691,-16.498828887939453,-5.685633659362793,80,5,716,49.225,-15.2980775,3837
0.051993731409311295,0.0003,4138,0.03571428571428571,0.29864898324012756,-16.721391677856445,-5.964484214782715,84,5,753,49.26190476190476,-15.228178154761903,4037
0.06002822518348694,0.0003,4338,0.03409090909090909,0.2814117670059204,-16.76074981689453,-6.227128028869629,88,0,29396,49.29545454545455,-15.070383693181817,4237
0.04696788638830185,0.0003,4538,0.03260869565217391,0.2651817798614502,-16.899246215820312,-6.540468215942383,92,0,29402,49.32608695652174,-14.906581380434783,4437
0.069914311170578,0.0003,4715,0.041666666666666664,0.2516257166862488,-17.0043888092041,-6.78377628326416,96,0,29407,49.114583333333336,-14.690974427083333,4614
0.05154148116707802,0.0003,4880,0.05,0.23963411152362823,-16.950319290161133,-6.966474533081055,100,0,29411,48.8,-14.49495246,4779
0.05933833867311478,0.0003,5080,0.05,0.2258884310722351,-17.059810638427734,-7.366155624389648,104,0,29417,48.8,-14.50499422,4979
0.054235104471445084,0.0003,5280,0.04,0.21295419335365295,-17.087419509887695,-7.490749835968018,108,0,29423,48.81,-14.352530860000002,5179
0.060906782746315,0.0003,5453,0.05,0.20239859819412231,-17.05437660217285,-7.621564865112305,112,0,29427,48.54,-14.00436782,5352
0.07952239364385605,0.0003,5653,0.05,0.19087745249271393,-17.1291446685791,-7.957432746887207,116,0,29434,48.54,-13.730699700000002,5552
0.06810110807418823,0.0003,5853,0.05,0.18001914024353027,-17.133731842041016,-8.09431266784668,120,0,29442,48.54,-13.604855420000002,5752
0.058421459048986435,0.0003,6043,0.06,0.1703070104122162,-17.062313079833984,-8.369126319885254,124,0,29448,48.44,-13.10997378,5942
0.05649099498987198,0.0003,6177,0.08,0.16381558775901794,-17.146663665771484,-8.521242141723633,128,0,29453,47.78,-12.80658027,6076
0.09133632481098175,0.0003,6330,0.08,0.15670037269592285,-17.002365112304688,-8.74464225769043,132,0,29458,47.72,-12.430367369999997,6229
0.17566928267478943,0.0003,6460,0.1,0.15092286467552185,-16.976505279541016,-8.694561958312988,136,0,29463,47.02,-12.156903060000001,6359
0.6904301643371582,0.0003,6576,0.12,0.145928293466568,-17.009449005126953,-8.87454605102539,140,0,29467,46.18,-11.70183137,6475
0.09066075086593628,0.0003,6706,0.14,0.14054159820079803,-17.060482025146484,-8.998573303222656,144,0,29472,45.48,-11.39089682,6605
0.126407653093338,0.0003,6868,0.15,0.13413096964359283,-16.776058197021484,-9.163493156433105,148,0,29477,45.1,-11.02185147,6767
0.4174630045890808,0.0003,7068,0.15,0.12661930918693542,-16.550519943237305,-9.497735977172852,152,0,29484,45.1,-10.801606379999999,6967
0.07061101496219635,0.0003,7202,0.16,0.12185223400592804,-16.528316497802734,-9.262054443359375,156,0,29489,44.64,-10.64818685,7101
2.402021884918213,0.0003,7402,0.16,0.11505390703678131,-16.2177791595459,-9.567261695861816,160,0,29497,44.64,-10.41797255,7301
0.09101768583059311,0.0003,7569,0.17,0.1096973717212677,-16.175182342529297,-9.523651123046875,164,0,29505,44.31,-10.267314129999999,7468
0.09388391673564911,0.0003,7754,0.18,0.1040734052658081,-16.041656494140625,-9.52269172668457,168,0,29513,44.16,-10.10916789,7653
0.12258115410804749,0.0003,7921,0.19,0.09928125888109207,-15.710334777832031,-9.792708396911621,172,0,29521,43.83,-9.872969690000001,7820
0.6338496208190918,0.0003,8095,0.2,0.09451352059841156,-15.705716133117676,-10.120573997497559,176,0,29528,43.57,-9.444302200000003,7994
0.5753312110900879,0.0003,8235,0.22,0.09083644300699234,-15.662394523620605,-10.018233299255371,180,0,29534,42.97,-9.077860240000001,8134
1.155256748199463,0.0003,8390,0.23,0.08694926649332047,-15.352774620056152,-9.856325149536133,184,0,29542,42.52,-8.82399089,8289
1.2648967504501343,0.0003,8590,0.23,0.08219067007303238,-15.379732131958008,-10.061579704284668,188,0,29551,42.52,-8.76163357,8489
0.09289257973432541,0.0003,8738,0.25,0.07885557413101196,-14.70930290222168,-9.976168632507324,192,0,29558,42.0,-8.509154389999999,8637
0.2785264253616333,0.0003,8908,0.25,0.07516182214021683,-14.796600341796875,-9.820079803466797,196,0,29565,41.93,-8.39610207,8807
0.5502575039863586,0.0003,9019,0.26,0.07286818325519562,-14.617671966552734,-10.464475631713867,200,0,29571,41.39,-8.23916297,8918
0.09630263596773148,0.0003,9129,0.28,0.07067811489105225,-14.649490356445312,-10.571976661682129,204,0,29575,40.49,-7.89024976,9028
1.00387704372406,0.0003,9282,0.29,0.06770835816860199,-14.744939804077148,-10.636859893798828,208,0,29583,40.02,-7.62209242,9181
0.09089691936969757,0.0003,9467,0.29,0.0642792284488678,-14.512179374694824,-10.552963256835938,212,0,29591,40.14,-7.66614591,9366
0.5252068042755127,0.0003,9630,0.3,0.061406999826431274,-14.034537315368652,-10.573202133178711,216,0,29598,39.77,-7.494776900000001,9529
0.6404318809509277,0.0003,9748,0.32,0.05941328406333923,-14.150140762329102,-10.455821990966797,220,0,29604,38.95,-7.169581060000001,9647
0.5935838222503662,0.0003,9897,0.33,0.05698026344180107,-14.02712345123291,-10.643614768981934,224,0,29610,38.54,-7.098977280000001,9796
0.977211594581604,0.0003,10005,0.33,0.05528390780091286,-13.785045623779297,-10.271685600280762,228,0,29615,38.28,-7.039454659999999,9904
0.09285534918308258,0.0003,10169,0.33,0.05281553417444229,-13.53110408782959,-10.02838134765625,232,0,29622,38.39,-6.958922359999999,10068
0.3917168974876404,0.0003,10324,0.32,0.05060938373208046,-13.72945785522461,-9.875116348266602,236,0,29629,38.64,-6.88952779,10223
0.07667817920446396,0.0003,10501,0.31,0.04819268733263016,-13.234088897705078,-10.65234088897705,240,0,29637,39.25,-6.887393319999998,10400
1.340358018875122,0.0003,10593,0.32,0.04697182774543762,-13.243794441223145,-10.359016418457031,244,0,29641,38.87,-6.706813069999999,10492
0.14538700878620148,0.0003,10793,0.31,0.044410187751054764,-13.038301467895508,-10.959988594055176,248,0,29656,39.25,-6.732614859999999,10692
0.285017192363739,0.0003,10903,0.34,0.04307447373867035,-12.626337051391602,-10.858887672424316,252,0,29670,38.35,-6.55245247,10802
0.38092291355133057,0.0003,11068,0.33,0.041168149560689926,-12.72244930267334,-10.547396659851074,256,0,29686,38.66,-6.665268829999999,10967
1.4416074752807617,0.0003,11268,0.33,0.03897084668278694,-12.53988265991211,-10.877954483032227,260,0,29705,38.66,-6.509685899999998,11167
0.4036647379398346,0.0003,11421,0.33,0.03738325461745262,-12.28447151184082,-10.011272430419922,264,0,29718,38.52,-6.40375186,11320
0.530738115310669,0.0003,11621,0.32,0.03542710095643997,-11.963610649108887,-10.064105987548828,268,0,29733,38.67,-6.510825059999999,11520
0.7418794631958008,0.0003,11780,0.33,0.0339386872947216,-11.475188255310059,-10.070635795593262,272,0,29744,38.59,-6.4574029,11679
0.6284775733947754,0.0003,11980,0.32,0.03217891603708267,-11.76913070678711,-9.796367645263672,276,0,29759,38.85,-6.41242926,11879
0.48875343799591064,0.0003,12180,0.3,0.030527200549840927,-11.756610870361328,-10.46445083618164,280,0,29774,39.45,-6.517880239999999,12079
0.9222890138626099,0.0003,12375,0.31,0.028981884941458702,-11.250310897827148,-10.29306697845459,284,0,29787,39.85,-6.41406443,12274
0.56822669506073,0.0003,12488,0.33,0.028132189065217972,-11.003714561462402,-9.175214767456055,288,0,29796,38.98,-6.26284342,12387
0.47192806005477905,0.0003,12688,0.31,0.026712512597441673,-10.946398735046387,-9.856107711791992,292,0,29810,39.5,-6.40315942,12587
0.16074511408805847,0.0003,12766,0.33,0.026159627363085747,-10.760940551757812,-9.976481437683105,296,0,29817,38.58,-6.217602219999999,12665
0.2763007879257202,0.0003,12876,0.33,0.025416569784283638,-10.685564994812012,-10.642946243286133,300,0,29825,38.57,-6.19067341,12775
