train/ent_coef_loss,time/fps,time/time_elapsed,rollout/success_rate,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/episodes,train/actor_loss,train/critic_loss,train/learning_rate
-0.14838474988937378,46,4,0.0,0.9710250496864319,200,50.0,-16.34590025,99,4,-4.020876884460449,0.10999216884374619,0.0003
-0.450008749961853,33,12,0.0,0.9144866466522217,400,50.0,-15.27619575,299,8,-5.144397735595703,0.0800701379776001,0.0003
-0.7538787722587585,29,20,0.0,0.8612148761749268,600,50.0,-13.920054,499,12,-6.2225823402404785,0.02378448098897934,0.0003
-1.0589512586593628,27,29,0.0,0.8110060691833496,800,50.0,-14.960353625000002,699,16,-7.337162494659424,0.03051687590777874,0.0003
-1.3572251796722412,26,37,0.0,0.7637321352958679,1000,50.0,-14.950411249999998,899,20,-8.382187843322754,0.027106698602437973,0.0003
-1.661852240562439,26,46,0.0,0.7192333936691284,1200,50.0,-14.562788125000003,1099,24,-9.365204811096191,0.04254201054573059,0.0003
-1.9707740545272827,25,54,0.0,0.6773289442062378,1400,50.0,-14.132108107142859,1299,28,-10.357892990112305,0.03003646805882454,0.0003
-2.2747819423675537,24,64,0.0,0.6378704309463501,1600,50.0,-14.13423259375,1499,32,-11.172561645507812,0.02636868506669998,0.0003
-2.566713809967041,24,73,0.0,0.600715160369873,1800,50.0,-14.792116944444444,1699,36,-11.937742233276367,0.025369491428136826,0.0003
-2.8786046504974365,24,81,0.0,0.5657206177711487,2000,50.0,-14.867350800000002,1899,40,-12.6930570602417,0.023852545768022537,0.0003
-3.187514305114746,24,90,0.0,0.5327667593955994,2200,50.0,-15.428704750000003,2099,44,-13.377689361572266,0.022916365414857864,0.0003
-3.4834299087524414,24,99,0.0,0.5017418265342712,2400,50.0,-15.275900104166666,2299,48,-13.956218719482422,0.019085129722952843,0.0003
-3.724388837814331,24,105,0.038461538461538464,0.4793758690357208,2552,49.07692307692308,-14.70624878846154,2451,52,-14.39597225189209,0.02972342073917389,0.0003
-4.009143352508545,24,113,0.03571428571428571,0.4514821767807007,2752,49.142857142857146,-14.997702214285715,2651,56,-14.806227684020996,0.0252021886408329,0.0003
-4.275851726531982,24,121,0.05,0.4289402961730957,2923,48.71666666666667,-14.730968050000001,2822,60,-15.17236328125,0.6942147612571716,0.0003
-4.541120529174805,24,129,0.046875,0.4040226340293884,3123,48.796875,-14.685628703125001,3022,64,-15.59396743774414,0.0458197221159935,0.0003
-4.845096588134766,24,137,0.04411764705882353,0.38055992126464844,3323,48.86764705882353,-14.705399352941178,3222,68,-15.870338439941406,0.7102843523025513,0.0003
-5.119056701660156,23,147,0.041666666666666664,0.35848087072372437,3523,48.93055555555556,-14.233335125,3422,72,-16.216228485107422,0.03131221607327461,0.0003
-5.4443511962890625,23,155,0.039473684210526314,0.3376988470554352,3723,48.98684210526316,-14.216963144736841,3622,76,-16.504676818847656,0.04442337527871132,0.0003
-5.692004680633545,23,166,0.0375,0.318154513835907,3923,49.0375,-14.054179837499998,3822,80,-16.809249877929688,0.04669057950377464,0.0003
-5.953853607177734,23,175,0.03571428571428571,0.29976293444633484,4123,49.083333333333336,-14.056774761904759,4022,84,-17.010007858276367,0.7341586351394653,0.0003
-6.249139785766602,23,182,0.03409090909090909,0.282463401556015,4323,49.125,-13.811681579545455,4222,88,-17.1378173828125,0.047809235751628876,0.0003
-6.493692398071289,23,190,0.043478260869565216,0.26777148246765137,4503,48.94565217391305,-13.69181259782609,4402,92,-17.30454444885254,0.03967433422803879,0.0003
-6.80192232131958,23,199,0.041666666666666664,0.2523740828037262,4703,48.989583333333336,-13.503086979166667,4602,96,-17.497203826904297,0.045308008790016174,0.0003
-6.904571056365967,23,208,0.05,0.2397417426109314,4877,48.77,-13.298816030000001,4776,100,-17.496307373046875,0.05365961790084839,0.0003
-7.264006614685059,22,220,0.05,0.22602173686027527,5077,48.77,-13.094149090000004,4976,104,-17.800457000732422,0.05359084904193878,0.0003
-7.493006706237793,22,232,0.06,0.21594855189323425,5232,48.32,-12.88136952,5131,108,-17.661972045898438,0.07555202394723892,0.0003
-7.6843132972717285,21,246,0.07,0.2043343037366867,5420,48.2,-12.763898789999999,5319,112,-17.703462600708008,0.5786008834838867,0.0003
-7.7395920753479,21,258,0.08,0.19434155523777008,5591,47.91,-12.41194589,5490,116,-17.661508560180664,0.058049894869327545,0.0003
-7.788564682006836,21,267,0.1,0.18522004783153534,5756,47.56,-12.077942549999996,5655,120,-17.530231475830078,0.06393857300281525,0.0003
-7.95235538482666,21,273,0.11,0.1764819324016571,5922,47.22,-11.915514289999999,5821,124,-17.735408782958984,0.05726880207657814,0.0003
-8.372980117797852,21,280,0.11,0.16650380194187164,6122,47.22,-11.77361912,6021,128,-17.663707733154297,0.07870431989431381,0.0003
-8.506301879882812,21,286,0.13,0.15974240005016327,6265,46.65,-11.42773197,6164,132,-17.389001846313477,0.07860337197780609,0.0003
-8.741235733032227,21,295,0.13,0.1507408618927002,6465,46.65,-10.976731919999999,6364,136,-17.366981506347656,0.06154124066233635,0.0003
-8.892532348632812,21,302,0.14,0.143911212682724,6626,46.26,-10.629081240000003,6525,140,-17.348485946655273,0.830111026763916,0.0003
-8.786009788513184,21,308,0.16,0.13844503462314606,6760,45.6,-10.01335333,6659,144,-17.324289321899414,1.4948523044586182,0.0003
-8.897384643554688,21,316,0.17,0.13233168423175812,6916,45.16,-9.71227886,6815,148,-17.426862716674805,0.6827563643455505,0.0003
-9.191039085388184,21,324,0.15,0.1249021366238594,7116,45.64,-9.785958139999998,7015,152,-17.137836456298828,0.6642071008682251,0.0003
-9.207352638244629,21,332,0.16,0.11819180101156235,7308,45.56,-9.31497121,7207,156,-17.00244140625,2.138319969177246,0.0003
-9.781453132629395,21,340,0.16,0.11297255009412766,7465,45.42,-9.11793925,7364,160,-17.027935028076172,0.07778291404247284,0.0003
-9.771183967590332,21,350,0.18,0.10676642507314682,7661,45.38,-8.84710408,7560,164,-16.688493728637695,0.0973212942481041,0.0003
-10.092351913452148,21,356,0.19,0.10200604796409607,7819,44.96,-8.497037879999999,7718,168,-16.66879653930664,1.6097428798675537,0.0003
-10.162467956542969,21,363,0.2,0.09757702797651291,7973,44.5,-8.562722399999998,7872,172,-16.552473068237305,0.09018510580062866,0.0003
-10.1202974319458,21,377,0.21,0.09343066811561584,8124,44.01,-8.265981009999997,8023,176,-16.292072296142578,0.09228526055812836,0.0003
-10.23239517211914,21,384,0.23,0.08993172645568848,8257,43.34,-8.02149326,8156,180,-16.32306671142578,0.10040734708309174,0.0003
-10.194787979125977,21,388,0.25,0.08697924762964249,8374,42.51,-7.658390150000002,8273,184,-16.252731323242188,0.09331518411636353,0.0003
-10.104707717895508,21,396,0.27,0.08295870572328568,8542,42.19,-7.538862270000001,8441,188,-15.875247955322266,1.1056320667266846,0.0003
-10.59237003326416,19,436,0.27,0.07914204895496368,8708,42.05,-7.36758553,8607,192,-15.913265228271484,1.0527067184448242,0.0003
-10.649079322814941,18,492,0.27,0.074787437915802,8908,42.05,-7.38419373,8807,196,-15.630712509155273,0.11453883349895477,0.0003
-10.719714164733887,17,517,0.28,0.07227329909801483,9029,41.52,-7.337852799999999,8928,200,-15.601164817810059,0.8223549127578735,0.0003
-10.53905963897705,16,550,0.29,0.06920034438371658,9185,41.08,-7.181990440000001,9084,204,-15.215531349182129,1.010589599609375,0.0003
-10.393908500671387,15,596,0.28,0.0654628574848175,9385,41.53,-7.17215188,9284,208,-15.044698715209961,0.5445705652236938,0.0003
-10.67237377166748,15,627,0.29,0.0630168542265892,9523,41.03,-7.0299825600000005,9422,212,-14.919537544250488,2.2266225814819336,0.0003
-10.76026725769043,14,674,0.28,0.059630751609802246,9723,41.32,-6.97659261,9622,216,-14.823223114013672,1.3368637561798096,0.0003
-10.296656608581543,13,734,0.27,0.05688777193427086,9893,41.37,-6.973550369999999,9792,220,-14.327709197998047,0.11293721199035645,0.0003
-9.755073547363281,12,794,0.27,0.05424295738339424,10064,41.42,-7.012611730000001,9963,224,-14.270886421203613,0.08578245341777802,0.0003
-10.737296104431152,12,855,0.27,0.05136430636048317,10264,41.42,-6.998791040000001,10163,228,-14.27016544342041,0.08945920318365097,0.0003
-10.837268829345703,11,905,0.26,0.04892206937074661,10442,41.77,-7.07521293,10341,232,-14.251479148864746,0.4796212315559387,0.0003
-10.522262573242188,11,950,0.27,0.04691959172487259,10596,41.31,-6.9734561600000005,10495,236,-13.581225395202637,1.1117587089538574,0.0003
-10.687162399291992,10,1006,0.27,0.04492581635713577,10757,41.31,-7.018343980000001,10656,240,-13.497299194335938,0.7617321610450745,0.0003
-10.404600143432617,10,1085,0.25,0.04261763021349907,10957,41.97,-7.108765850000001,10856,244,-13.735292434692383,0.21100464463233948,0.0003
-10.122915267944336,9,1145,0.25,0.04087282344698906,11111,41.95,-7.192272610000001,11010,248,-13.344897270202637,0.10184164345264435,0.0003
-10.194230079650879,9,1212,0.26,0.03882783651351929,11302,41.86,-7.0689566500000005,11201,252,-13.262734413146973,1.1482365131378174,0.0003
-9.756854057312012,8,1277,0.26,0.03723302111029625,11460,41.52,-7.065547779999999,11359,256,-12.958928108215332,0.7304168939590454,0.0003
