rollout/success_rate,train/critic_loss,time/episodes,train/actor_loss,time/fps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
0.25,0.004398989025503397,4,0.13046811521053314,10,-10.66569,78,17,0.001,44.75,179
0.25,0.001669501420110464,8,0.22161011397838593,7,-12.73283275,229,43,0.001,41.25,330
0.25,0.003975255880504847,12,0.24562501907348633,6,-11.819936833333331,384,70,0.001,40.416666666666664,485
0.1875,0.0010666385060176253,16,0.3339327573776245,6,-14.272794750000001,584,103,0.001,42.8125,685
0.3,0.0020407529082149267,20,0.3047053813934326,6,-12.11550565,660,117,0.001,38.05,761
0.25,0.0008746343664824963,24,0.347624808549881,5,-11.891412666666668,860,164,0.001,40.041666666666664,961
0.25,0.0007761993329040706,28,0.3290245234966278,5,-11.403754642857143,1015,198,0.001,39.857142857142854,1116
0.25,0.0009964886121451855,32,0.38160499930381775,5,-11.284934875000001,1171,217,0.001,39.75,1272
0.2777777777777778,0.0009300307719968259,36,0.38647040724754333,5,-10.522832194444446,1278,231,0.001,38.30555555555556,1379
0.3,0.000842832843773067,40,0.3928645849227905,5,-9.870264449999999,1386,248,0.001,37.175,1487
0.3409090909090909,0.0009259528014808893,44,0.3933694064617157,6,-9.266334477272727,1454,258,0.001,35.34090909090909,1555
0.3541666666666667,0.0006732844049111009,48,0.44404637813568115,6,-8.70519375,1563,274,0.001,34.666666666666664,1664
0.38461538461538464,0.001784391002729535,52,0.3886665105819702,6,-8.19859475,1641,286,0.001,33.5,1742
0.42857142857142855,0.0009493881952948868,56,0.40802550315856934,6,-7.647244589285714,1664,289,0.001,31.517857142857142,1765
0.45,0.0013230657204985619,60,0.3854266107082367,6,-7.221941183333333,1733,299,0.001,30.566666666666666,1834
0.484375,0.0010435995645821095,64,0.37210431694984436,6,-6.799577312499999,1754,302,0.001,28.984375,1855
0.5147058823529411,0.0016710390336811543,68,0.3810226321220398,6,-6.46730538235294,1808,310,0.001,28.073529411764707,1909
0.5416666666666666,0.0016046876553446054,72,0.37628787755966187,6,-6.164397166666667,1862,318,0.001,27.26388888888889,1963
0.5526315789473685,0.0020984597504138947,76,0.39066922664642334,6,-5.90931777631579,1925,327,0.001,26.657894736842106,2026
0.5625,0.0022993856109678745,80,0.3973158001899719,6,-5.687544725,1987,336,0.001,26.1,2088
0.5833333333333334,0.0014144020387902856,84,0.37050068378448486,6,-5.443656154761905,2009,339,0.001,25.11904761904762,2110
0.6022727272727273,0.0016026095254346728,88,0.38917669653892517,6,-5.213960409090909,2027,342,0.001,24.181818181818183,2128
0.6086956521739131,0.001843789010308683,92,0.38677656650543213,6,-5.106904217391304,2116,353,0.001,24.097826086956523,2217
0.6145833333333334,0.0018996762810274959,96,0.37365248799324036,6,-4.9980953125,2190,364,0.001,23.864583333333332,2291
0.62,0.0016523561207577586,100,0.3675670325756073,6,-4.84533003,2253,377,0.001,23.54,2354
0.65,0.0017929006135091186,104,0.4108985662460327,6,-4.4411032,2275,381,0.001,21.97,2376
0.68,0.0028815174009650946,108,0.33741647005081177,6,-3.8875664499999996,2322,388,0.001,20.93,2423
0.69,0.0012703828979283571,112,0.3871861696243286,6,-3.6246101600000005,2426,411,0.001,20.42,2527
0.73,0.002163337077945471,116,0.3679230213165283,6,-2.7810030200000004,2448,417,0.001,18.64,2549
0.74,0.002219550544396043,120,0.3992612659931183,6,-2.655272820000001,2462,420,0.001,18.02,2563
0.78,0.002129898639395833,124,0.3308049440383911,6,-2.2526152100000005,2484,425,0.001,16.24,2585
0.81,0.002622980624437332,128,0.40516048669815063,5,-1.9601272,2546,441,0.001,15.31,2647
0.84,0.0019473957363516092,132,0.34677448868751526,5,-1.5582934699999997,2563,444,0.001,13.92,2664
0.86,0.0026322398334741592,136,0.4290672838687897,5,-1.4075469899999993,2585,450,0.001,13.07,2686
0.88,0.0025472422130405903,140,0.3056481182575226,5,-1.26585506,2602,453,0.001,12.16,2703
0.88,0.0021157306618988514,144,0.3295929729938507,5,-1.20055315,2668,465,0.001,12.14,2769
0.89,0.0023589194752275944,148,0.3959205746650696,5,-1.1645057,2730,473,0.001,11.67,2831
0.9,0.0019393082475289702,152,0.360895574092865,5,-1.0967544699999998,2748,476,0.001,11.07,2849
0.9,0.002596949925646186,156,0.33609288930892944,5,-1.09816423,2771,481,0.001,11.07,2872
0.91,0.0016686820890754461,160,0.3455745577812195,5,-1.0696844799999998,2796,485,0.001,10.63,2897
0.91,0.001967356540262699,164,0.37608134746551514,5,-1.0972701999999999,2857,496,0.001,11.03,2958
0.91,0.002237875247374177,168,0.296684205532074,5,-1.06685466,2876,499,0.001,10.68,2977
0.91,0.0028783301822841167,172,0.37136954069137573,5,-1.04204251,2892,501,0.001,10.3,2993
0.92,0.002033166354522109,176,0.39973440766334534,5,-1.0091388899999998,2910,504,0.001,9.85,3011
0.93,0.002102765953168273,180,0.3605625331401825,5,-0.9687879699999999,2931,506,0.001,9.44,3032
0.93,0.0016982154920697212,184,0.3419831097126007,5,-0.97247692,2953,511,0.001,9.44,3054
0.92,0.002829328179359436,188,0.35254764556884766,5,-1.03800839,3013,525,0.001,9.86,3114
0.93,0.0023625586181879044,192,0.3384169936180115,5,-0.9372935,3026,527,0.001,9.1,3127
0.94,0.0027043211739510298,196,0.3633738160133362,5,-0.8523737700000001,3043,531,0.001,8.53,3144
0.95,0.0025938949547708035,200,0.329491525888443,5,-0.82574813,3064,534,0.001,8.11,3165
0.95,0.0027373263146728277,204,0.3177712857723236,5,-0.82265627,3083,539,0.001,8.08,3184
0.95,0.0026214136742055416,208,0.3660992383956909,5,-0.7973100700000001,3098,543,0.001,7.76,3199
0.97,0.0026292558759450912,212,0.35352078080177307,5,-0.67633713,3115,547,0.001,6.89,3216
0.97,0.0024602897465229034,216,0.366971492767334,5,-0.6724362899999999,3132,551,0.001,6.84,3233
0.96,0.002460656687617302,220,0.29840147495269775,5,-0.71103657,3194,563,0.001,7.32,3295
0.96,0.002313584089279175,224,0.3436937630176544,5,-0.6988062500000001,3212,565,0.001,7.28,3313
0.96,0.002304984722286463,228,0.3272535800933838,5,-0.6746985999999999,3235,567,0.001,6.89,3336
0.96,0.0019276433158665895,232,0.32419508695602417,5,-0.6723062299999999,3251,569,0.001,6.88,3352
0.96,0.0026233289390802383,236,0.3271956145763397,5,-0.6673553899999999,3269,573,0.001,6.84,3370
0.96,0.001805658801458776,240,0.32629451155662537,5,-0.6635333099999999,3286,576,0.001,6.84,3387
0.97,0.0021891570650041103,244,0.3453750014305115,5,-0.6165717700000001,3303,578,0.001,6.35,3404
0.98,0.0021885503083467484,248,0.3231533169746399,5,-0.5696608000000001,3321,580,0.001,5.91,3422
0.98,0.0029313000850379467,252,0.3057440221309662,5,-0.5738642800000001,3338,583,0.001,5.9,3439
0.98,0.0029311715625226498,256,0.32028892636299133,5,-0.5731911799999999,3356,585,0.001,5.85,3457
0.98,0.001880542142316699,260,0.3294755816459656,5,-0.57406159,3378,588,0.001,5.82,3479
0.98,0.0021077636629343033,264,0.29170340299606323,5,-0.55101007,3401,591,0.001,5.44,3502
0.98,0.002408570609986782,268,0.352941632270813,5,-0.55095094,3416,593,0.001,5.4,3517
0.97,0.002181447809562087,272,0.2828003466129303,5,-0.5824308599999999,3479,603,0.001,5.87,3580
0.97,0.0025965115055441856,276,0.345916211605072,5,-0.57815726,3494,606,0.001,5.84,3595
0.97,0.002104503568261862,280,0.31862354278564453,5,-0.58036075,3513,609,0.001,5.82,3614
0.97,0.001832157140597701,284,0.2542734444141388,5,-0.5781246,3536,613,0.001,5.83,3637
0.98,0.0021545104682445526,288,0.33162787556648254,5,-0.5140431200000001,3556,615,0.001,5.43,3657
0.98,0.0019518082262948155,292,0.3851967751979828,5,-0.52475222,3575,618,0.001,5.49,3676
0.98,0.0018341746181249619,296,0.2658296227455139,5,-0.54210625,3597,624,0.001,5.54,3698
0.98,0.002194441854953766,300,0.3006235957145691,5,-0.54126591,3615,629,0.001,5.51,3716
0.98,0.0022489833645522594,304,0.3455082178115845,5,-0.53800291,3632,632,0.001,5.49,3733
0.98,0.0027715403120964766,308,0.2934357523918152,5,-0.5406050199999999,3648,636,0.001,5.5,3749
0.98,0.002624454675242305,312,0.3942493200302124,5,-0.5493663999999999,3670,642,0.001,5.55,3771
0.98,0.002105466788634658,316,0.3041223883628845,5,-0.55029535,3689,646,0.001,5.57,3790
0.99,0.002052891533821821,320,0.3126603662967682,5,-0.51388435,3704,649,0.001,5.1,3805
0.99,0.0025017447769641876,324,0.2732151746749878,5,-0.5296071299999999,3739,656,0.001,5.27,3840
0.99,0.0018761225510388613,328,0.30623310804367065,5,-0.52866886,3759,659,0.001,5.24,3860
0.99,0.0022315806709229946,332,0.2505760192871094,5,-0.5361032900000001,3779,661,0.001,5.28,3880
0.99,0.0023192076478153467,336,0.2865859568119049,5,-0.53651096,3800,666,0.001,5.31,3901
0.99,0.002745754085481167,340,0.3417578637599945,5,-0.54161722,3820,670,0.001,5.34,3921
0.99,0.0018402317073196173,344,0.3047448992729187,5,-0.5492158,3841,674,0.001,5.38,3942
0.99,0.0018843943253159523,348,0.31333550810813904,5,-0.54629074,3858,677,0.001,5.37,3959
0.99,0.0024726432748138905,352,0.30254027247428894,5,-0.54466389,3876,681,0.001,5.38,3977
0.99,0.0020546051673591137,356,0.30748942494392395,5,-0.5410553999999999,3893,686,0.001,5.37,3994
0.99,0.0019764574244618416,360,0.2819676399230957,5,-0.5504145699999999,3932,696,0.001,5.54,4033
0.99,0.00210399366915226,364,0.27923449873924255,5,-0.55169237,3953,703,0.001,5.52,4054
0.99,0.0016414523124694824,368,0.25807422399520874,5,-0.5560270700000001,3974,708,0.001,5.58,4075
1.0,0.0023484788835048676,372,0.2724369764328003,5,-0.5243353900000001,3992,713,0.001,5.13,4093
1.0,0.002344914246350527,376,0.30035027861595154,5,-0.5308459,4011,717,0.001,5.17,4112
1.0,0.0019952869042754173,380,0.2872459590435028,5,-0.5266948600000001,4026,721,0.001,5.13,4127
1.0,0.001872902037575841,384,0.2967493534088135,5,-0.52150471,4044,726,0.001,5.08,4145
1.0,0.00226585753262043,388,0.28505146503448486,5,-0.5183056,4059,728,0.001,5.03,4160
1.0,0.0022454853169620037,392,0.23560482263565063,5,-0.51726978,4077,734,0.001,5.02,4178
1.0,0.0023980485275387764,396,0.3065634071826935,5,-0.50692871,4096,739,0.001,4.99,4197
1.0,0.002553184749558568,400,0.32789963483810425,5,-0.5169036000000001,4118,744,0.001,5.03,4219
1.0,0.002883526496589184,404,0.24618734419345856,5,-0.51613133,4134,749,0.001,5.02,4235
1.0,0.0021031151991337538,408,0.2667129337787628,5,-0.51570346,4150,755,0.001,5.02,4251
1.0,0.0022491232957690954,412,0.2988772988319397,5,-0.5124652799999999,4170,763,0.001,5.0,4271
1.0,0.0025660498067736626,416,0.3127709627151489,5,-0.51275444,4190,767,0.001,5.01,4291
1.0,0.0019700343254953623,420,0.2804390490055084,5,-0.5101747300000001,4205,772,0.001,5.01,4306
1.0,0.002191578270867467,424,0.28585466742515564,5,-0.50040762,4225,775,0.001,4.86,4326
1.0,0.0018744212575256824,428,0.26480740308761597,5,-0.5030029800000001,4246,780,0.001,4.87,4347
1.0,0.0019781142473220825,432,0.2870990037918091,5,-0.5036129800000001,4266,783,0.001,4.87,4367
1.0,0.001957154367119074,436,0.2259969413280487,5,-0.5012741600000001,4284,787,0.001,4.84,4385
1.0,0.0017541206907480955,440,0.2985936999320984,5,-0.50939846,4306,791,0.001,4.86,4407
1.0,0.0018203917425125837,444,0.293964684009552,5,-0.50143178,4323,795,0.001,4.82,4424
1.0,0.002115655690431595,448,0.2852686643600464,5,-0.49834723,4336,798,0.001,4.78,4437
1.0,0.0021472193766385317,452,0.3366479277610779,5,-0.48933431000000005,4348,803,0.001,4.72,4449
1.0,0.0023020203225314617,456,0.3022633194923401,5,-0.4959128,4370,809,0.001,4.77,4471
1.0,0.002029251307249069,460,0.2802713215351105,5,-0.48028844000000004,4387,815,0.001,4.55,4488
1.0,0.0019163629040122032,464,0.2796974182128906,5,-0.47801990000000005,4408,822,0.001,4.55,4509
1.0,0.0023241708986461163,468,0.338302880525589,5,-0.4830417799999999,4429,826,0.001,4.55,4530
1.0,0.0021769478917121887,472,0.22261108458042145,5,-0.49630521999999994,4452,832,0.001,4.6,4553
1.0,0.001969641773030162,476,0.24396952986717224,5,-0.49561524,4472,839,0.001,4.61,4573
1.0,0.0021429695188999176,480,0.2942769527435303,5,-0.49776821000000004,4489,844,0.001,4.63,4590
1.0,0.0018022930016741157,484,0.3057934045791626,5,-0.49738534,4508,847,0.001,4.64,4609
1.0,0.0019056526944041252,488,0.3314116597175598,5,-0.51263861,4535,853,0.001,4.76,4636
1.0,0.0019513056613504887,492,0.25054436922073364,5,-0.51478332,4558,858,0.001,4.81,4659
1.0,0.002024279907345772,496,0.2475779801607132,5,-0.50497578,4572,861,0.001,4.76,4673
1.0,0.0020023188553750515,500,0.28304323554039,5,-0.49340608,4590,865,0.001,4.72,4691
1.0,0.0022679069079458714,504,0.23343227803707123,5,-0.49889702999999996,4611,870,0.001,4.77,4712
1.0,0.0020995216909796,508,0.27800825238227844,5,-0.49969096,4626,873,0.001,4.76,4727
1.0,0.0018473936943337321,512,0.2622106671333313,5,-0.48779070999999985,4638,877,0.001,4.68,4739
1.0,0.0017609202768653631,516,0.3323424160480499,5,-0.4935903499999999,4659,882,0.001,4.69,4760
1.0,0.0018148941453546286,520,0.20233047008514404,5,-0.50085316,4678,886,0.001,4.73,4779
1.0,0.0019982745870947838,524,0.23679473996162415,5,-0.49107912,4692,889,0.001,4.67,4793
1.0,0.0018364200368523598,528,0.2487124502658844,5,-0.48905895,4712,893,0.001,4.66,4813
1.0,0.0023292815312743187,532,0.3251485824584961,5,-0.48789404000000003,4730,899,0.001,4.64,4831
1.0,0.0017234792467206717,536,0.28241631388664246,5,-0.48154977000000004,4745,903,0.001,4.61,4846
1.0,0.0017324239015579224,540,0.2583221197128296,5,-0.46220857000000004,4756,905,0.001,4.5,4857
1.0,0.0019522560760378838,544,0.2636958658695221,5,-0.46268143,4774,910,0.001,4.51,4875
1.0,0.0022512907162308693,548,0.2253779172897339,5,-0.47271814,4792,913,0.001,4.56,4893
1.0,0.0019971567671746016,552,0.3251228332519531,5,-0.48636927,4815,916,0.001,4.67,4916
1.0,0.0018029953353106976,556,0.3233394920825958,5,-0.47893196000000005,4831,918,0.001,4.61,4932
1.0,0.0014087706804275513,560,0.2429022639989853,5,-0.48523967999999995,4851,922,0.001,4.64,4952
1.0,0.0016676841769367456,564,0.24985118210315704,5,-0.47697379999999995,4865,924,0.001,4.57,4966
1.0,0.0018187649548053741,568,0.28054824471473694,5,-0.47403232999999995,4887,929,0.001,4.58,4988
1.0,0.0017632083036005497,572,0.24633921682834625,5,-0.46284423000000013,4903,932,0.001,4.51,5004
1.0,0.0014880772214382887,576,0.24446892738342285,5,-0.4634221199999999,4922,937,0.001,4.5,5023
1.0,0.0019989500287920237,580,0.25525951385498047,5,-0.46872794999999995,4948,943,0.001,4.59,5049
1.0,0.0021671124268323183,584,0.23349043726921082,5,-0.46619389999999994,4965,947,0.001,4.57,5066
1.0,0.002464389894157648,588,0.22552910447120667,5,-0.45948822,4985,951,0.001,4.5,5086
1.0,0.0016745143802836537,592,0.29056471586227417,5,-0.45410706000000006,5000,953,0.001,4.42,5101
1.0,0.001750180497765541,596,0.27782344818115234,5,-0.46084208000000004,5018,955,0.001,4.46,5119
1.0,0.0015514441765844822,600,0.25724703073501587,5,-0.46057347,5035,960,0.001,4.45,5136
1.0,0.0016800077864900231,604,0.2332635074853897,5,-0.4489938300000001,5047,961,0.001,4.36,5148
1.0,0.0015481379814445972,608,0.2864740192890167,5,-0.45199053,5064,963,0.001,4.38,5165
1.0,0.0015742635587230325,612,0.24973362684249878,5,-0.46044306999999995,5081,966,0.001,4.43,5182
1.0,0.001853418885730207,616,0.2099728286266327,5,-0.4564135299999999,5101,968,0.001,4.42,5202
0.98,0.0014604052994400263,620,0.23043547570705414,5,-0.52950905,5209,988,0.001,5.31,5310
0.98,0.0014054233906790614,624,0.2251962423324585,5,-0.53717306,5227,991,0.001,5.35,5328
0.98,0.0020264647901058197,628,0.26888495683670044,5,-0.52883586,5242,994,0.001,5.3,5343
0.98,0.001779809594154358,632,0.30003657937049866,5,-0.5224365200000001,5257,997,0.001,5.27,5358
0.98,0.001611341256648302,636,0.2429114729166031,5,-0.52907223,5274,1000,0.001,5.29,5375
0.98,0.0016896931920200586,640,0.24673153460025787,5,-0.5427508600000001,5294,1005,0.001,5.38,5395
0.98,0.0017900457605719566,644,0.23370561003684998,5,-0.5332243499999999,5304,1007,0.001,5.3,5405
0.98,0.001911324798129499,648,0.23447194695472717,5,-0.5325972299999999,5329,1011,0.001,5.37,5430
0.98,0.0015187471872195601,652,0.22899317741394043,5,-0.52113102,5342,1013,0.001,5.27,5443
0.98,0.0020728567615151405,656,0.21667970716953278,5,-0.52056541,5358,1017,0.001,5.27,5459
0.98,0.0020286645740270615,660,0.24929729104042053,5,-0.51223305,5373,1020,0.001,5.22,5474
0.98,0.001694209291599691,664,0.320023775100708,5,-0.5150574400000001,5393,1023,0.001,5.28,5494
0.98,0.0015099698211997747,668,0.2358139157295227,5,-0.50643265,5408,1025,0.001,5.21,5509
0.98,0.0017657388234511018,672,0.21183665096759796,5,-0.50454593,5423,1029,0.001,5.2,5524
0.98,0.002255086787045002,676,0.20889420807361603,5,-0.49525907,5438,1032,0.001,5.16,5539
0.98,0.0019722706638276577,680,0.19973333179950714,5,-0.48515239,5451,1035,0.001,5.03,5552
0.98,0.001317514106631279,684,0.258002370595932,5,-0.5213601100000002,5501,1048,0.001,5.36,5602
0.98,0.0016587494174018502,688,0.2865283489227295,5,-0.50945039,5514,1056,0.001,5.29,5615
0.98,0.001910227001644671,692,0.3011701703071594,5,-0.5147353,5533,1060,0.001,5.33,5634
0.98,0.0024054632522165775,696,0.35774505138397217,5,-0.5178252300000001,5554,1068,0.001,5.36,5655
0.98,0.0019860356114804745,700,0.26813313364982605,5,-0.51320168,5568,1073,0.001,5.33,5669
0.97,0.0017362067010253668,704,0.2848345935344696,5,-0.5588951899999999,5634,1094,0.001,5.87,5735
0.97,0.0028333598747849464,708,0.29888588190078735,5,-0.55316027,5648,1097,0.001,5.84,5749
0.97,0.0021785402204841375,712,0.2416638880968094,5,-0.5479036500000001,5662,1100,0.001,5.81,5763
0.97,0.0016019612085074186,716,0.22151294350624084,5,-0.5469239,5681,1102,0.001,5.8,5782
0.99,0.001761151710525155,720,0.2420194149017334,5,-0.46887632999999995,5695,1105,0.001,4.86,5796
0.99,0.0015413770452141762,724,0.2517731189727783,5,-0.46002967000000006,5709,1107,0.001,4.82,5810
0.99,0.0014515765942633152,728,0.2473478466272354,5,-0.46097734,5724,1111,0.001,4.82,5825
0.99,0.0016339387511834502,732,0.3075469434261322,5,-0.46336645000000004,5741,1117,0.001,4.84,5842
0.99,0.0023609958589076996,736,0.2552948594093323,5,-0.4662323599999999,5764,1124,0.001,4.9,5865
0.99,0.001954518025740981,740,0.24941666424274445,5,-0.45974281000000006,5779,1128,0.001,4.85,5880
0.99,0.0017043589614331722,744,0.25769710540771484,5,-0.46726797999999997,5795,1133,0.001,4.91,5896
0.99,0.0013818147126585245,748,0.25218647718429565,5,-0.46751295,5814,1139,0.001,4.85,5915
0.99,0.0013415099820122123,752,0.30325549840927124,5,-0.46967529999999996,5829,1142,0.001,4.87,5930
0.99,0.0014302320778369904,756,0.22106078267097473,5,-0.47068849999999995,5845,1145,0.001,4.87,5946
0.98,0.002073919866234064,760,0.25398093461990356,5,-0.51222236,5909,1157,0.001,5.36,6010
0.98,0.0018648256082087755,764,0.2370838075876236,5,-0.52408103,5932,1161,0.001,5.39,6033
0.98,0.002038991777226329,768,0.2325892597436905,5,-0.53194041,5950,1164,0.001,5.42,6051
0.98,0.0021660015918314457,772,0.2511095106601715,5,-0.5262314100000001,5962,1165,0.001,5.39,6063
0.98,0.0014535763766616583,776,0.23067979514598846,5,-0.53790189,5981,1167,0.001,5.43,6082
0.98,0.0019154166802763939,780,0.29195499420166016,5,-0.54785618,6002,1177,0.001,5.51,6103
0.98,0.001565874321386218,784,0.21962915360927582,5,-0.5103583700000001,6017,1181,0.001,5.16,6118
0.98,0.0013689665356650949,788,0.19406957924365997,5,-0.52149428,6037,1188,0.001,5.23,6138
0.98,0.001400862354785204,792,0.18453551828861237,5,-0.51077285,6049,1190,0.001,5.16,6150
0.98,0.002133477944880724,796,0.22008821368217468,5,-0.50252787,6064,1197,0.001,5.1,6165
0.98,0.001947751035913825,800,0.2340911626815796,5,-0.5135013,6084,1203,0.001,5.16,6185
0.99,0.0011517155217006803,804,0.23561185598373413,5,-0.47485757,6100,1206,0.001,4.66,6201
0.99,0.0019236698281019926,808,0.26159366965293884,5,-0.47517197000000005,6114,1211,0.001,4.66,6215
0.99,0.0015392671339213848,812,0.21531662344932556,5,-0.47450786,6128,1213,0.001,4.66,6229
0.99,0.0016466237138956785,816,0.257874995470047,5,-0.47025883999999996,6143,1216,0.001,4.62,6244
0.99,0.0024706870317459106,820,0.26711001992225647,5,-0.48100172,6168,1222,0.001,4.73,6269
0.99,0.0015317017678171396,824,0.22734332084655762,5,-0.48976153999999994,6185,1226,0.001,4.76,6286
